"","Rk","Name","Birth Date","Death Date","Age at Death","From","To","Pos","GP","G","A","PTS","+/-","PIM","GP","W","L","T/O","SV%","GAA"
"23","3","Babe Siebert","1904-01-14","1939-08-25","35","1926","1939","LW/D","594","140","154","294","","1002","","","","","",""
"24","1","Mickey MacKay","1894-05-25","1940-05-21","45","1927","1930","C","147","44","19","63","","79","","","","","",""
"25","1","Bill Boyd","1898-05-15","1940-11-17","42","1927","1930","RW","142","15","7","22","","74","","","","","",""
"26","2","Hap Holmes","1888-02-21","1941-06-27","53","1918","1928","G","103","0","0","0","","0","103","39","54","10","","2.47"
"27","3","Howard McNamara","1893-08-03","1940-09-04","47","1920","1920","D","10","1","0","1","","4","","","","","",""
"28","1","Ron Lyons","1908-02-15","1942-02-05","33","1931","1931","LW","36","2","4","6","","23","","","","","",""
"29","2","Mike Mitchell","1893-07-09","1942-05-08","48","1920","1922","G","22","0","0","0","","0","22","10","9","0","","4.44"
"30","3","Jesse Spring","1901-01-18","1942-03-25","41","1924","1930","D","133","11","4","15","","78","1","0","0","0","","0.00"
"31","1","Bert Corbeau","1894-02-09","1942-09-21","48","1918","1927","D","258","63","48","111","","665","","","","","",""
"32","2","Don Deacon","1913-06-02","1943-08-01","30","1937","1940","LW","27","6","4","10","","6","","","","","",""
"33","1","Amos Arbour","1895-01-26","1943-11-01","48","1919","1924","LW","114","52","17","69","","78","","","","","",""
"34","2","Gene Carrigan","1907-07-05","1944-03-15","36","1931","1935","C","37","2","1","3","","13","","","","","",""
"35","3","Leth Graham","1894-10-10","1944-01-18","49","1921","1926","LW","27","3","0","3","","0","","","","","",""
"36","1","Red Garrett","1924-07-24","1944-11-24","20","1943","1943","D","23","1","1","2","","18","","","","","",""
"37","2","Rennison Manners","1904-02-05","1944-12-26","40","1930","1931","C","37","3","3","6","","14","","","","","",""
"38","3","Jack Marks","1885-06-11","1945-08-20","60","1918","1920","LW/D","7","0","0","0","","4","","","","","",""
"39","4","Joe Turner","1919-03-28","1945-01-12","25","1942","1942","G","1","0","0","0","","0","1","0","0","1","","2.57"
"40","1","Harry Mummery","1889-08-25","1945-12-09","56","1918","1923","D","106","32","20","52","","225","4","2","1","0","","6.30"
"41","1","Lorne Chabot","1900-10-05","1946-10-10","46","1927","1937","G","412","0","0","0","","10","412","200","146","62","","2.03"
"42","2","Harry Connor","1904-12-03","1947-03-02","42","1928","1931","LW","132","16","5","21","","149","","","","","",""
"43","3","Ken Randall","1888-12-14","1947-06-17","58","1918","1927","RW/D","219","70","51","121","","581","","","","","",""
"44","1","Ernie Parkes","1898-11-04","1948-07-07","49","1925","1925","RW","17","0","0","0","","2","","","","","",""
"45","2","Joe Thorsteinson","1905-03-19","1948-08-24","43","1933","1933","RW","4","0","0","0","","0","","","","","",""
"46","1","Hib Milks","1899-04-01","1949-01-21","49","1926","1933","LW/C","317","88","41","129","","181","","","","","",""
"47","2","Bobby Rowe","1885-08-19","1948-09-21","63","1925","1925","RW/D","4","1","0","1","","0","","","","","",""
"48","3","Percy Traub","1896-08-23","1948-12-05","52","1927","1929","D","130","3","3","6","","225","","","","","",""
"49","1","Bill Brydge","1901-10-22","1949-11-02","48","1927","1936","D","368","26","52","78","","516","","","","","",""
"50","2","Leo Gaudreault","1905-10-19","1950-03-21","44","1928","1933","LW/C","67","8","4","12","","38","","","","","",""
"51","3","Alex McKinnon","1895-04-17","1949-10-08","54","1925","1929","RW","195","19","12","31","","237","","","","","",""
"52","4","Glenn Smith","1895-04-25","1949-10-06","54","1922","1922","D","9","0","0","0","","0","","","","","",""
"53","5","Jack Walker","1888-11-29","1950-02-16","61","1927","1928","F","84","5","8","13","","16","","","","","",""
"54","6","Tex White","1900-06-26","1949-12-02","49","1926","1931","RW","204","33","14","47","","145","","","","","",""
"55","1","Bill Barilko","1927-03-25","1951-08-26","24","1947","1951","D","252","26","36","62","","456","","","","","",""
"56","2","Billy Burch","1900-11-20","1950-11-30","50","1923","1933","C/LW","390","136","60","196","","263","","","","","",""
"57","3","Jim Drummond","1918-10-20","1950-12-12","32","1945","1945","D","2","0","0","0","","0","","","","","",""
"58","4","George Hainsworth","1895-06-26","1950-10-09","55","1927","1937","G","465","0","0","0","","4","465","246","144","74","","1.93"
"59","5","Bob Hall","1899-10-13","1950-12-03","51","1926","1926","F","8","0","0","0","","0","","","","","",""
"60","6","John Holota","1921-02-25","1951-03-10","30","1943","1946","C","15","2","0","2","","0","","","","","",""
"61","7","Hec Lepine","1897-12-07","1951-03-29","53","1926","1926","C","33","5","2","7","","2","","","","","",""
"62","1","Billy Bell","1891-06-10","1952-06-03","60","1918","1924","C/RW","67","3","3","6","","12","","","","","",""
"63","2","Jack Keating","1916-10-09","1951-12-29","35","1939","1940","LW","12","3","0","3","","4","","","","","",""
"64","3","Howie Mackie","1913-08-30","1952-03-09","38","1937","1938","RW/D","16","1","0","1","","4","","","","","",""
"65","4","Jack McVicar","1904-06-04","1952-02-20","47","1931","1932","D","88","2","4","6","","59","","","","","",""
"66","1","Larry Aurie","1905-02-08","1952-12-11","47","1928","1939","RW","489","147","128","275","","283","","","","","",""
"67","2","Earl Campbell","1900-07-23","1953-02-11","52","1924","1926","D","76","6","4","10","","16","","","","","",""
"68","3","Rene Joliat","1898-04-25","1953-08-10","55","1925","1925","RW/D","1","0","0","0","","0","","","","","",""
"69","4","Beattie Ramsay","1895-12-12","1952-09-30","56","1928","1928","D","43","0","2","2","","10","","","","","",""
"70","5","Charlie Sands","1911-03-23","1953-04-06","42","1933","1944","C/RW","429","99","112","211","","56","1","0","0","0","","12.00"
"71","1","Charles Cahill","1904-01-04","1954-06-05","50","1926","1927","RW","32","0","1","1","","9","","","","","",""
"72","2","Harry Cameron","1890-02-06","1953-10-20","63","1918","1923","D","129","88","54","142","","180","","","","","",""
"73","3","Lionel Conacher","1901-05-24","1954-05-26","53","1926","1937","D","498","78","108","186","","883","","","","","",""
"74","4","Tommy Filmore","1906-03-14","1954-01-11","47","1931","1934","RW","117","16","13","29","","33","","","","","",""
"75","1","Edmond Bouchard","1892-05-24","1955-07-18","63","1922","1929","LW/D","223","19","24","43","","133","","","","","",""
"76","2","Carson Cooper","1899-07-17","1955-07-04","55","1925","1932","RW","295","110","62","172","","126","","","","","",""
"77","3","Emil Hanson","1907-11-18","1955-05-16","47","1933","1933","RW/D","7","0","0","0","","6","","","","","",""
"78","4","Pit Lepine","1901-07-30","1955-08-02","54","1926","1938","C","526","143","97","240","","394","","","","","",""
"79","5","Ross Lowe","1928-09-21","1955-08-08","26","1950","1952","D/LW","77","6","8","14","","82","","","","","",""
"80","6","Bert McCaffrey","1893-04-12","1955-04-15","62","1925","1931","RW/D","261","43","35","78","","204","","","","","",""
"81","7","Herb Rheaume","1900-01-12","1955-01-01","54","1926","1926","G","31","0","0","0","","0","31","10","20","1","","2.93"
"82","1","Odie Cleghorn","1891-09-19","1956-07-14","64","1919","1928","RW/C","182","94","35","129","","150","1","1","0","0","","2.00"
"83","2","Sprague Cleghorn","1890-03-11","1956-07-12","66","1919","1928","D","262","85","63","148","","549","2","0","0","0","","0.00"
"84","3","Stan Jackson","1898-08-27","1955-11-28","57","1922","1927","LW","86","9","9","18","","84","","","","","",""
"85","4","Howard Lockhart","1895-03-21","1956-08-02","61","1920","1925","G","59","0","0","0","","0","59","16","41","0","","5.05"
"86","5","Jack Markle","1907-05-15","1956-06-25","49","1936","1936","RW","8","0","1","1","","0","","","","","",""
"87","6","John Morrison","1895-03-04","1956-03-14","61","1926","1926","LW","18","0","1","1","","0","","","","","",""
"88","7","Jean Pusie","1910-10-15","1956-04-21","45","1931","1936","D","65","1","4","5","","28","","","","","",""
"89","8","Hal Winkler","1892-03-20","1956-05-29","64","1927","1928","G","75","0","0","0","","0","75","35","26","14","","1.57"
"90","1","Frank Carson","1902-01-12","1957-04-21","55","1926","1934","RW","248","42","48","90","","170","","","","","",""
"91","2","Gerry Carson","1905-10-10","1956-11-01","51","1929","1937","D","260","12","10","22","","199","","","","","",""
"92","3","Gene Chouinard","1902-01-05","1957-01-29","55","1928","1928","D","8","0","0","0","","0","","","","","",""
"93","4","Fern Headley","1901-03-02","1956-09-28","55","1925","1925","D","30","1","4","5","","6","","","","","",""
"94","5","Dick Irvin","1892-07-19","1957-05-16","64","1927","1929","C","95","29","23","52","","84","","","","","",""
"95","6","George Massecar","1904-07-10","1957-07-14","53","1930","1932","LW","100","12","11","23","","46","","","","","",""
"96","7","Hickey Nicholson","1911-09-09","1956-11-22","45","1938","1938","LW","2","1","0","1","","0","","","","","",""
"97","8","Paddy Nolan","1897-12-01","1957-04-12","59","1922","1922","LW/D","2","0","0","0","","0","","","","","",""
"98","9","Nels Stewart","1902-12-29","1957-08-21","54","1926","1940","C","650","324","191","515","","950","","","","","",""
"99","10","Dave Trottier","1906-06-25","1956-12-13","50","1929","1939","LW","446","121","113","234","","521","","","","","",""
"100","1","Alec Connell","1902-02-08","1958-05-10","56","1925","1937","G","418","0","0","0","","4","418","193","156","68","","1.92"
"101","2","John Ingram","1893-12-19","1957-12-14","63","1925","1925","C","1","0","0","0","","0","","","","","",""
"102","3","Bud Maracle","1904-09-08","1958-06-20","53","1931","1931","LW","11","1","3","4","","4","","","","","",""
"103","4","Stan McCabe","1908-06-16","1958-06-02","49","1930","1934","LW","74","9","5","14","","49","","","","","",""
"104","5","Jack McDonald","1887-02-28","1958-01-24","70","1918","1922","LW","70","26","14","40","","27","","","","","",""
"105","6","Jack McDonald","1921-11-24","1958-01-24","36","1944","1944","RW","43","10","9","19","","6","","","","","",""
"106","7","Amby Moran","1895-04-03","1958-04-08","63","1927","1928","D","35","1","1","2","","24","","","","","",""
"107","8","Dunc Munro","1901-01-19","1958-01-03","56","1925","1932","D","239","28","18","46","","179","1","0","0","0","","0.00"
"108","9","Mike Neville","1904-10-11","1958-01-16","53","1925","1931","C","67","5","6","11","","14","","","","","",""
"109","10","Roy Worters","1900-10-19","1957-11-07","57","1926","1937","G","484","0","0","0","","0","484","171","230","82","","2.28"
"110","1","Louis Berlinguette","1887-05-26","1959-06-01","72","1918","1926","LW","193","45","32","77","","132","","","","","",""
"111","2","Billy Boucher","1899-11-10","1958-11-10","59","1922","1928","RW","213","93","35","128","","419","","","","","",""
"112","3","Hago Harrington","1904-08-13","1959-07-01","54","1926","1933","LW","72","9","5","14","","31","","","","","",""
"113","4","Normie Himes","1903-04-13","1958-09-14","55","1927","1935","C","402","107","112","219","","125","2","0","1","0","","2.28"
"114","5","Horace Merrill","1885-11-30","1958-12-24","73","1918","1920","D","9","0","0","0","","3","","","","","",""
"115","6","Werner Schnarr","1903-03-23","1959-05-29","56","1925","1926","C","26","0","0","0","","0","","","","","",""
"116","7","Don Smith","1888-06-03","1959-05-13","70","1920","1920","LW/C","12","1","0","1","","6","","","","","",""
"117","1","Andy Bellemer","1903-07-03","1960-04-12","56","1933","1933","D","15","0","0","0","","0","","","","","",""
"118","2","Adam Brown","1920-02-04","1960-08-09","40","1942","1952","LW","392","104","114","218","","378","","","","","",""
"119","3","Morley Bruce","1894-03-07","1959-11-25","65","1918","1922","D/C","71","8","2","10","","27","","","","","",""
"120","4","Paul Goodman","1905-02-25","1959-10-01","54","1940","1941","G","52","0","0","0","","0","52","23","20","9","","2.17"
"121","5","Shorty Green","1896-07-17","1960-04-19","63","1924","1927","RW","103","34","22","56","","167","","","","","",""
"122","6","Walter Kalbfleisch","1911-12-18","1960-05-16","48","1934","1937","D","36","0","4","4","","32","","","","","",""
"123","7","Martin Lauder","1907-01-26","1959-09-06","52","1928","1928","D/C","3","0","0","0","","2","","","","","",""
"124","8","Jack Laviolette","1879-07-17","1960-01-09","80","1918","1918","D/W","18","2","1","3","","6","","","","","",""
"125","9","Clarence MacKenzie","1909-07-11","1960-06-11","50","1933","1933","RW","36","4","4","8","","","","","","","",""
"126","10","Thomas McCarthy","1893-04-12","1959-12-28","66","1920","1921","RW","35","22","7","29","","10","","","","","",""
"127","11","Ron Moffat","1905-08-21","1960-08-19","54","1933","1935","LW","37","1","1","2","","8","","","","","",""
"128","12","Lester Patrick","1883-12-30","1960-06-01","76","1927","1927","D","1","0","0","0","","2","","","","","",""
"129","13","Flat Walsh","1897-03-23","1959-12-02","62","1927","1933","G","111","0","0","0","","0","111","48","44","15","","2.32"
"130","1","Georges Boucher","1896-08-17","1960-10-17","64","1918","1932","D","450","118","87","205","","845","","","","","",""
"131","2","Fred Doherty","1887-08-15","1961-02-12","73","1919","1919","RW","2","0","0","0","","0","","","","","",""
"132","3","Frank Eddolls","1921-07-05","1961-08-13","40","1945","1952","D","317","23","43","66","","114","","","","","",""
"133","4","Percy Galbraith","1898-12-05","1961-06-19","62","1927","1934","LW/D","348","31","29","60","","238","","","","","",""
"134","5","Bill Holmes","1899-03-09","1961-03-14","62","1926","1930","C","52","6","4","10","","37","","","","","",""
"135","6","Max Kaminsky","1913-04-19","1961-05-05","48","1934","1937","C","130","22","34","56","","38","","","","","",""
"136","7","Leo Lamoureux","1916-10-01","1961-01-11","44","1942","1947","C/D","236","19","79","98","","179","","","","","",""
"137","8","Hugh Lehman","1885-10-27","1961-04-12","75","1927","1928","G","48","0","0","0","","0","48","20","24","4","","2.68"
"138","9","Bert Lindsay","1881-07-23","1960-11-11","79","1918","1919","G","20","0","0","0","","0","20","6","14","0","","5.82"
"139","10","Joe Matte","1893-03-06","1961-06-13","68","1920","1926","D","68","17","15","32","","52","","","","","",""
"140","11","Raymie Skilton","1889-09-26","1961-07-01","71","1918","1918","D","1","0","0","0","","0","","","","","",""
"141","12","Alf Skinner","1896-01-26","1961-04-11","65","1918","1926","RW","71","26","12","38","","93","","","","","",""
"142","1","Art Brooks","1889-02-04","1962-01-01","72","1918","1918","G","4","0","0","0","","0","4","2","2","0","","6.27"
"143","2","Francis Cain","1899-03-22","1962-01-13","62","1925","1926","D","61","4","1","5","","37","","","","","",""
"144","3","Tom Cook","1907-05-07","1961-10-02","54","1930","1938","C","348","76","98","174","","180","1","0","0","0","","0.00"
"145","4","Babe Dye","1898-05-13","1962-01-03","63","1920","1931","RW","272","203","50","253","","220","","","","","",""
"146","5","Gus Forslund","1908-04-25","1962-08-04","54","1933","1933","RW","48","4","9","13","","2","","","","","",""
"147","6","Dutch Gainor","1904-04-10","1962-01-16","57","1928","1935","C","247","51","56","107","","129","","","","","",""
"148","7","Jack MacKell","1896-04-12","1961-11-25","65","1920","1921","RW/D","45","4","2","6","","54","","","","","",""
"149","8","Reg Noble","1896-06-23","1962-01-19","65","1918","1933","LW/D","510","167","106","273","","925","","","","","",""
"150","9","Vic Ripley","1906-05-30","1962-03-26","55","1929","1935","LW","280","51","49","100","","170","","","","","",""
"151","10","Art Smith","1906-11-29","1962-05-16","55","1928","1931","D","144","15","10","25","","253","","","","","",""
"152","11","Cully Wilson","1892-06-05","1962-07-06","70","1920","1927","RW","130","59","28","87","","245","","","","","",""
"153","1","Ed Carpenter","1890-06-15","1963-04-30","72","1920","1921","D","45","10","5","15","","41","","","","","",""
"154","2","Art Chapman","1906-05-29","1962-12-31","56","1931","1940","C","431","62","176","238","","136","","","","","",""
"155","3","Corb Denneny","1894-01-25","1963-01-16","68","1918","1928","C","176","102","42","144","","150","","","","","",""
"156","4","Ed Gorman","1892-09-25","1963-03-10","70","1925","1928","D","111","14","6","20","","110","","","","","",""
"157","5","Bob Gracie","1910-11-08","1963-08-10","52","1931","1939","C/LW","380","82","110","192","","203","","","","","",""
"158","6","Bonner Larose","1901-02-14","1963-01-23","61","1926","1926","LW","6","0","0","0","","0","","","","","",""
"159","7","Joe Miller","1900-10-06","1963-08-12","62","1928","1931","G","130","0","0","0","","0","130","24","89","16","","2.89"
"160","8","Yip Radley","1908-06-27","1963-08-19","55","1931","1937","D","18","0","1","1","","13","","","","","",""
"161","9","Hooley Smith","1903-01-07","1963-08-24","60","1925","1941","C/RW","717","200","226","426","","1056","","","","","",""
"162","1","Clarence Abel","1900-05-28","1964-08-01","64","1927","1934","D","333","20","18","38","","365","","","","","",""
"163","2","Red Conn","1904-10-25","1964-07-19","59","1934","1935","LW","96","9","28","37","","22","","","","","",""
"164","3","Gizzy Hart","1902-06-01","1964-06-22","62","1927","1933","LW","99","6","9","15","","12","","","","","",""
"165","4","Wildor Larochelle","1906-09-23","1964-03-21","57","1926","1937","RW","475","92","75","167","","213","","","","","",""
"166","5","Art Ross","1886-01-13","1964-08-05","78","1918","1918","D","3","1","0","1","","12","","","","","",""
"167","6","Alex Smith","1902-04-02","1963-11-29","61","1925","1935","D","443","41","51","92","","645","","","","","",""
"168","1","Oscar Asmundson","1908-11-17","1964-11-02","55","1933","1938","C","111","11","23","34","","30","","","","","",""
"169","2","Murray Balfour","1936-08-24","1965-05-30","28","1957","1965","RW","306","67","90","157","8","389","","","","","",""
"170","3","Bobby Bauer","1915-02-16","1964-09-16","49","1937","1952","RW","327","123","136","259","","38","","","","","",""
"171","4","Patsy Callighen","1906-02-13","1964-10-16","58","1928","1928","D","36","0","0","0","","32","","","","","",""
"172","5","Lloyd Cook","1890-03-21","1964-10-09","74","1925","1925","D","4","1","0","1","","0","","","","","",""
"173","6","Herb Drury","1895-03-02","1965-07-01","70","1926","1931","D/RW","216","24","13","37","","223","","","","","",""
"174","7","Harold Halderson","1900-01-06","1965-08-01","65","1927","1927","D","44","3","2","5","","65","","","","","",""
"175","8","Sammy Hebert","1894-03-31","1965-07-23","71","1918","1924","G","4","0","0","0","","0","4","2","1","0","","5.70"
"176","9","Henry Hicks","1900-12-10","1965-08-14","64","1929","1931","D","90","5","2","7","","69","","","","","",""
"177","10","Charlie Langlois","1894-08-25","1965-08-31","71","1925","1928","RW/D","151","22","5","27","","207","","","","","",""
"178","11","Roger Leger","1919-03-26","1965-04-07","46","1944","1950","D","187","18","53","71","","71","","","","","",""
"179","12","Russell Oatman","1905-02-19","1964-10-25","59","1927","1929","LW","120","20","9","29","","98","","","","","",""
"180","13","Rollie Paulhus","1902-09-01","1964-12-30","62","1926","1926","D","33","0","0","0","","0","","","","","",""
"181","14","Earl Roche","1910-02-22","1965-08-15","55","1931","1935","LW","147","25","27","52","","48","","","","","",""
"182","15","Emory Sparrow","1898-09-15","1965-02-02","66","1925","1925","RW/C","8","0","0","0","","4","","","","","",""
"183","16","Bill Thoms","1910-03-05","1964-12-26","54","1933","1945","C","549","135","207","342","","172","","","","","",""
"184","1","Bobby Benson","1894-05-18","1965-09-07","71","1925","1925","D","8","0","2","2","","4","","","","","",""
"185","2","Leo Bourgeault","1903-01-17","1965-11-01","62","1927","1935","D","307","25","20","45","","336","","","","","",""
"186","3","Connie Brown","1917-01-11","1966-06-03","49","1939","1943","C","73","15","24","39","","12","","","","","",""
"187","4","Nobby Clark","1897-06-18","1966-08-05","69","1928","1928","D","2","0","0","0","","0","","","","","",""
"188","5","Frank Foyston","1891-02-02","1966-01-19","74","1927","1928","C/RW","64","17","7","24","","30","","","","","",""
"189","6","Red Green","1899-12-12","1966-07-25","66","1924","1929","LW","195","60","27","87","","277","","","","","",""
"190","7","Busher Jackson","1911-01-19","1966-06-25","55","1930","1944","LW","634","241","234","475","","450","","","","","",""
"191","8","Wilf Loughlin","1896-02-28","1966-06-25","70","1924","1924","D/LW","14","0","0","0","","2","","","","","",""
"192","9","Reg Mackey","1900-05-07","1966-02-26","65","1927","1927","D","41","0","0","0","","16","","","","","",""
"193","10","Fern Majeau","1916-05-03","1966-06-21","50","1944","1945","C/LW","56","22","24","46","","43","","","","","",""
"194","11","Duke McCurry","1900-06-13","1965-11-08","65","1926","1929","LW","148","21","12","33","","121","","","","","",""
"195","12","Larry Molyneaux","1912-07-09","1966-05-24","53","1938","1939","D","45","0","1","1","","20","","","","","",""
"196","13","Leo Murray","1899-09-24","1965-11-20","66","1933","1933","C/LW","6","0","0","0","","2","","","","","",""
"197","14","Frank Nighbor","1893-01-26","1966-04-13","73","1918","1930","C","349","139","100","239","","266","","","","","",""
"198","15","Butch Paul","1943-09-11","1966-03-25","22","1965","1965","C","3","0","0","0","-1","0","","","","","",""
"199","16","Tommy Smith","1886-09-27","1966-08-01","79","1920","1920","C","10","0","1","1","","11","","","","","",""
"200","1","Bill Carson","1900-11-25","1967-05-29","66","1927","1930","C","159","54","27","81","","121","","","","","",""
"201","2","Gord Hannigan","1929-01-19","1966-11-16","37","1953","1956","C","161","29","31","60","","115","","","","","",""
"202","3","Ed Jeremiah","1905-11-04","1967-08-15","61","1932","1932","RW/D","15","0","1","1","","0","","","","","",""
"203","4","Lloyd Klein","1910-01-13","1966-12-09","56","1929","1938","LW","164","30","25","55","","68","","","","","",""
"204","5","John Newman","1910-04-24","1967-04-17","56","1931","1931","C/LW","9","1","1","2","","2","","","","","",""
"205","6","Joe Papike","1915-03-28","1967-05-28","52","1941","1945","RW","20","3","3","6","","4","","","","","",""
"206","7","Carl Smith","1917-09-18","1967-01-09","49","1944","1944","RW","7","1","1","2","","2","","","","","",""
"207","8","Chris Speyer","1902-02-09","1966-12-26","64","1924","1934","D","14","0","0","0","","0","","","","","",""
"208","9","Don Willson","1914-01-01","1967-03-23","53","1938","1939","C","22","2","7","9","","0","","","","","",""
"209","1","Jack Adams","1894-06-14","1968-05-01","73","1918","1927","C","173","81","44","125","","384","","","","","",""
"210","2","Vern Ayres","1909-04-27","1968-02-18","58","1931","1936","D","211","6","11","17","","332","","","","","",""
"211","3","Hy Buller","1926-03-15","1968-08-03","42","1944","1954","D","188","22","58","80","","215","","","","","",""
"212","4","Marty Burke","1905-01-28","1968-03-07","63","1928","1938","D","503","18","48","66","","574","","","","","",""
"213","5","Charlie Conacher","1909-12-20","1967-12-30","58","1930","1941","RW","461","224","172","396","","523","4","0","0","0","","0.00"
"214","6","Wilf Cude","1910-07-04","1968-05-05","57","1931","1941","G","281","0","0","0","","0","281","98","132","50","","2.73"
"215","7","Babe Donnelly","1895-12-22","1968-07-27","72","1927","1927","D","34","0","1","1","","14","","","","","",""
"216","8","Bruce Draper","1940-10-02","1968-01-26","27","1963","1963","C","1","0","0","0","0","0","","","","","",""
"217","9","Polly Drouin","1916-01-16","1968-01-01","51","1935","1941","LW","161","23","51","74","","80","","","","","",""
"218","10","Bill Kyle","1924-12-23","1968-04-17","43","1950","1951","C","3","0","3","3","","0","","","","","",""
"219","11","Art Lesieur","1907-09-13","1967-12-31","60","1929","1936","D","100","4","2","6","","52","","","","","",""
"220","12","Fred Lowrey","1902-08-12","1968-01-24","65","1925","1926","RW","53","1","1","2","","10","","","","","",""
"221","13","Bill Masterton","1938-08-13","1968-01-15","29","1968","1968","C","38","4","8","12","-2","4","","","","","",""
"222","14","Mickey McGuire","1898-07-07","1968-05-23","69","1927","1928","LW","36","3","0","3","","6","","","","","",""
"223","15","Gerry Munro","1897-11-28","1968-01-28","70","1925","1926","D","34","1","2","3","","32","","","","","",""
"224","16","Johnny Sheppard","1903-07-23","1968-08-28","65","1927","1934","LW","311","69","58","127","","228","","","","","",""
"225","17","Phil Stevens","1893-02-15","1968-04-08","75","1918","1926","C/D","25","1","0","1","","3","","","","","",""
"226","1","Marty Barry","1905-12-08","1969-08-20","63","1928","1940","C","507","194","193","387","","231","","","","","",""
"227","2","Eddie Convey","1910-12-16","1969-02-22","58","1931","1933","LW/C","34","1","1","2","","35","","","","","",""
"228","3","Jack Coughlin","1892-06-06","1969-06-21","77","1918","1921","RW","20","2","0","2","","3","","","","","",""
"229","4","Frank Daley","1909-08-22","1968-10-15","59","1929","1929","LW/C","5","0","0","0","","0","","","","","",""
"230","5","Nick Damore","1916-07-10","1969-04-16","52","1942","1942","G","1","0","0","0","","0","1","1","0","0","","3.00"
"231","6","Gerry Geran","1896-08-03","1968-12-05","72","1918","1926","C","37","5","1","6","","6","","","","","",""
"232","7","Jimmy Herbert","1897-10-31","1968-12-05","71","1925","1930","C/RW","206","83","34","117","","259","","","","","",""
"233","8","Lionel Hitchman","1901-11-03","1969-01-12","67","1923","1934","D","417","27","38","65","","557","","","","","",""
"234","9","Albert Holway","1902-09-24","1968-11-20","66","1924","1929","D","116","7","2","9","","52","","","","","",""
"235","10","Harry Hyland","1889-01-02","1969-08-08","80","1918","1918","RW","17","14","2","16","","65","","","","","",""
"236","11","Roland Lafleur","1899-03-21","1968-11-26","69","1925","1925","LW","1","0","0","0","","0","","","","","",""
"237","12","Joe Malone","1890-02-28","1969-05-15","79","1918","1924","C/LW","126","143","33","176","","57","","","","","",""
"238","13","Moylan McDonnell","1889-08-27","1969-01-22","79","1921","1921","D","22","1","2","3","","2","","","","","",""
"239","14","John McKinnon","1902-07-15","1969-02-08","66","1926","1931","D","208","28","9","37","","195","","","","","",""
"240","15","Herb Mitchell","1896-01-04","1969-01-12","73","1925","1926","LW","55","6","2","8","","60","","","","","",""
"241","16","Eric Pettinger","1904-12-14","1968-12-24","64","1929","1931","LW/C","98","7","12","19","","85","","","","","",""
"242","17","Jim Riley","1895-05-25","1969-05-25","74","1927","1927","LW","9","0","2","2","","10","","","","","",""
"243","18","Norm Shay","1899-02-03","1968-11-28","69","1925","1926","D/RW","53","5","4","9","","34","","","","","",""
