Player,Pos,DOB,DOB Year,Total Fights,GP,G,A,P,PIM,PIM/GP,TOI/GP,PIM/TOI%,Pen Drawn,Pen Taken,Net Pen,Pen Drawn/60,Pen Taken/60,Net Pen/60,Minor,Major,Match,Msct,G Msct,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,1st Season Corrected,HOF,GP,G,A,P
Kris King,L,1966-02-18,1966,170,849,66,85,151,"2,030",2:23,--,--,--,648,--,--,--,--,445,178,0,14,11,L,L,1966-02-18,Bracebridge,ON,CAN,CAN,71,208,1984,4,80,19871988,1987,N,849,66,85,151
Al Secord,L,1958-03-03,1958,169,766,273,223,496,"2,095",2:44,--,--,--,656,--,--,--,--,464,155,1,28,8,--,L,1958-03-03,Sudbury,ON,CAN,CAN,73,205,1978,1,16,19781979,1978,N,766,273,223,496
Randy McKay,R,1967-01-25,1967,169,932,162,201,363,"1,731",1:51,--,--,--,491,--,--,--,--,292,169,0,19,11,R,R,1967-01-25,Montreal,QC,CAN,CAN,74,210,1985,6,113,19881989,1988,N,932,162,201,363
Paul Laus,D,1970-09-26,1970,168,530,14,58,72,"1,702",3:12,--,--,--,496,--,--,--,--,301,170,1,21,3,R,D,1970-09-26,Beamsville,ON,CAN,CAN,73,215,1989,2,37,19931994,1993,N,530,14,58,72
Torrie Robertson,L,1961-08-02,1961,167,442,49,99,148,"1,751",3:57,--,--,--,500,--,--,--,--,305,163,1,22,9,L,L,1961-08-02,Victoria,BC,CAN,CAN,71,200,1980,3,55,19801981,1980,N,442,49,99,148
Rick Tocchet,R,1964-04-09,1964,164,"1,144",440,512,952,"2,970",2:35,--,--,--,983,--,--,--,--,756,166,4,35,22,R,R,1964-04-09,Scarborough,ON,CAN,CAN,72,210,1983,6,121,19841985,1984,N,"1,144",440,512,952
Krzysztof Oliwa,L,1973-04-12,1973,163,410,17,28,45,"1,447",3:31,--,--,--,371,--,--,--,--,181,163,3,18,6,L,L,1973-04-12,Tychy,--,POL,POL,77,245,1993,3,65,19961997,1996,N,410,17,28,45
Cody McLeod,L,1984-06-26,1984,163,776,72,55,127,"1,630",2:06,10:00,21,--,438,--,--,--,--,242,164,0,25,7,L,L,1984-06-26,Binscarth,MB,CAN,CAN,74,204,--,--,--,20072008,2007,N,776,72,55,127
George Parros,R,1979-12-29,1979,159,474,18,18,36,"1,092",2:18,5:55,38.9,--,261,--,--,--,--,91,158,0,11,1,R,R,1979-12-29,Washington,PA,USA,USA,77,224,1999,8,222,20052006,2005,N,474,18,18,36
Dale Hunter,C,1960-07-31,1960,157,"1,407",323,697,"1,020","3,565",2:32,--,--,--,"1,346",--,--,--,--,"1,141",157,1,33,14,L,C,1960-07-31,Petrolia,ON,CAN,CAN,70,200,1979,2,41,19801981,1980,N,"1,407",323,697,"1,020"
Brad May,L,1971-11-29,1971,157,"1,041",127,161,288,"2,248",2:09,--,--,--,675,--,--,--,--,463,160,2,28,22,L,L,1971-11-29,Toronto,ON,CAN,CAN,73,213,1990,1,14,19911992,1991,N,"1,041",127,161,288
Dave Schultz,L,1949-10-14,1949,154,535,79,121,200,"2,292",4:17,--,--,--,541,--,--,--,--,308,134,1,73,25,L,L,1949-10-14,Waldheim,SK,CAN,CAN,73,185,1969,5,52,19711972,1971,N,535,79,121,200
Bob McGill,D,1962-04-27,1962,152,706,17,55,72,"1,766",2:30,--,--,--,505,--,--,--,--,315,154,0,24,12,R,D,1962-04-27,Edmonton,AB,CAN,CAN,73,193,1980,2,26,19811982,1981,N,706,17,55,72
Kevin McClelland,R,1962-07-04,1962,150,588,68,112,180,"1,670",2:50,--,--,--,429,--,--,--,--,243,136,1,36,13,R,R,1962-07-04,Oshawa,ON,CAN,CAN,74,205,1980,4,71,19811982,1981,N,588,68,112,180
Lyle Odelein,D,1968-07-21,1968,150,"1,056",50,202,252,"2,316",2:11,--,--,--,684,--,--,--,--,473,148,2,37,24,L,D,1968-07-21,Quill Lake,SK,CAN,CAN,72,212,1986,7,141,19891990,1989,N,"1,056",50,202,252
Todd Ewen,R,1966-03-22,1966,150,518,36,40,76,"1,914",3:41,--,--,--,542,--,--,--,--,342,154,0,25,21,R,R,1966-03-22,Saskatoon,SK,CAN,CAN,75,230,1984,8,168,19861987,1986,N,518,36,40,76
Gino Odjick,L,1970-09-07,1970,148,605,64,73,137,"2,567",4:14,--,--,--,673,--,--,--,--,422,159,2,60,30,L,L,1970-09-07,Maniwaki,QC,CAN,CAN,75,224,1990,5,86,19901991,1990,N,605,64,73,137
Gord Donnelly,D,1962-04-05,1962,147,554,28,41,69,"2,069",3:44,--,--,--,565,--,--,--,--,352,155,2,32,24,R,D,1962-04-05,Montreal,QC,CAN,CAN,73,202,1981,3,62,19831984,1983,N,554,28,41,69
Shawn Thornton,L,1977-07-23,1977,146,705,42,60,102,"1,103",1:33,8:55,17.5,--,292,--,--,--,--,139,141,1,10,1,R,L,1977-07-23,Oshawa,ON,CAN,CAN,74,217,1997,7,190,20022003,2002,N,705,42,60,102
Shane Churla,R,1965-06-24,1965,143,488,26,45,71,"2,301",4:42,--,--,--,609,--,--,--,--,378,153,1,47,30,R,R,1965-06-24,Fernie,BC,CAN,CAN,73,205,1985,6,110,19861987,1986,N,488,26,45,71
Dave Brown,R,1962-10-12,1962,141,729,45,52,97,"1,789",2:27,--,--,--,467,--,--,--,--,269,147,3,27,21,R,R,1962-10-12,Saskatoon,SK,CAN,CAN,77,220,1982,7,140,19821983,1982,N,729,45,52,97
Eric Boulton,L,1976-08-17,1976,139,654,31,48,79,"1,421",2:10,6:44,32.3,--,367,--,--,--,--,192,143,0,22,10,L,L,1976-08-17,Halifax,NS,CAN,CAN,72,227,1994,9,234,20002001,2000,N,654,31,48,79
Mike Hartman,L,1967-02-07,1967,136,397,43,35,78,"1,388",3:29,--,--,--,375,--,--,--,--,208,140,0,23,4,L,L,1967-02-07,Detroit,MI,USA,USA,72,190,1986,7,131,19861987,1986,N,397,43,35,78
Brandon Prust,L,1984-03-16,1984,133,486,40,75,115,"1,036",2:07,11:38,18.3,--,265,--,--,--,--,123,126,0,13,3,L,L,1984-03-16,London,ON,CAN,CAN,72,195,2004,3,70,20062007,2006,N,486,40,75,115
Duane Sutter,R,1960-03-16,1960,132,731,139,203,342,"1,333",1:49,--,--,--,423,--,--,--,--,294,111,1,11,6,R,R,1960-03-16,Viking,AB,CAN,CAN,72,189,1979,1,17,19791980,1979,N,731,139,203,342
Darcy Hordichuk,L,1980-08-10,1980,132,542,20,21,41,"1,140",2:06,5:34,37.7,--,291,--,--,--,--,140,130,0,15,6,L,L,1980-08-10,Kamsack,SK,CAN,CAN,73,215,2000,6,180,20002001,2000,N,542,20,21,41
Shayne Corson,L,1966-08-13,1966,130,"1,156",273,420,693,"2,357",2:02,--,--,--,786,--,--,--,--,605,133,2,35,11,L,L,1966-08-13,Barrie,ON,CAN,CAN,73,202,1984,1,8,19851986,1985,N,"1,156",273,420,693
Peter Worrell,L,1977-08-18,1977,130,391,19,27,46,"1,554",3:58,8:04,49.3,--,449,--,--,--,--,282,136,0,23,8,L,L,1977-08-18,Pierrefonds,QC,CAN,CAN,79,250,1995,7,166,19971998,1997,N,391,19,27,46
Darren McCarty,R,1972-04-01,1972,129,758,127,161,288,"1,477",1:56,--,--,--,459,--,--,--,--,306,133,0,9,11,R,R,1972-04-01,Burnaby,BC,CAN,CAN,73,210,1992,2,46,19931994,1993,N,758,127,161,288
Andrei Nazarov,L,1974-05-22,1974,128,571,53,71,124,"1,409",2:28,--,--,--,365,--,--,--,--,197,133,7,14,14,R,L,1974-05-22,Chelyabinsk,--,RUS,RUS,77,242,1992,1,10,19931994,1993,N,571,53,71,124
Georges Laraque,R,1976-12-07,1976,128,695,53,100,153,"1,126",1:37,8:19,19.5,--,317,--,--,--,--,172,134,1,6,4,R,R,1976-12-07,Montreal,QC,CAN,CAN,76,245,1995,2,31,19971998,1997,N,695,53,100,153
Matt Johnson,L,1975-11-23,1975,127,473,23,20,43,"1,523",3:13,--,--,--,419,--,--,--,--,249,135,4,18,13,L,L,1975-11-23,Welland,ON,CAN,CAN,77,235,1994,2,33,19941995,1994,N,473,23,20,43
Jim Cummins,R,1970-05-15,1970,126,511,24,36,60,"1,538",3:00,--,--,--,388,--,--,--,--,209,134,0,17,28,R,R,1970-05-15,Dearborn,MI,USA,USA,74,210,1989,4,67,19911992,1991,N,511,24,36,60
Sandy McCarthy,R,1972-06-15,1972,126,736,72,76,148,"1,534",2:05,--,--,--,386,--,--,--,--,212,126,0,31,17,R,R,1972-06-15,Toronto,ON,CAN,CAN,75,223,1991,3,52,19931994,1993,N,736,72,76,148
Wade Belak,R,1976-07-03,1976,124,549,8,25,33,"1,263",2:18,--,--,--,357,--,--,--,--,209,127,1,12,8,R,R,1976-07-03,Saskatoon,SK,CAN,CAN,77,222,1994,1,12,19961997,1996,N,549,8,25,33
Wendel Clark,L,1966-10-25,1966,123,793,330,234,564,"1,690",2:07,--,--,--,603,--,--,--,--,467,122,1,7,6,L,L,1966-10-25,Kelvington,SK,CAN,CAN,71,197,1985,1,1,19851986,1985,N,793,330,234,564
Ken Daneyko,D,1964-04-17,1964,122,"1,283",36,142,178,"2,516",1:57,--,--,--,885,--,--,--,--,716,122,1,37,9,L,D,1964-04-17,Windsor,ON,CAN,CAN,73,215,1982,1,18,19831984,1983,N,"1,283",36,142,178
Scott Mellanby,R,1966-06-11,1966,122,"1,431",364,476,840,"2,479",1:43,--,--,--,883,--,--,--,--,721,119,3,29,11,R,R,1966-06-11,Montreal,QC,CAN,CAN,73,210,1984,2,27,19851986,1985,N,"1,431",364,476,840
Luke Richardson,D,1969-03-26,1969,122,"1,417",35,166,201,"2,055",1:27,--,--,--,697,--,--,--,--,538,123,1,23,12,L,D,1969-03-26,Ottawa,ON,CAN,CAN,75,214,1987,1,7,19871988,1987,N,"1,417",35,166,201
Darren Langdon,L,1971-01-08,1971,121,521,16,23,39,"1,251",2:24,--,--,--,358,--,--,--,--,213,125,0,16,4,L,L,1971-01-08,Deer Lake,NL,CAN,CAN,73,205,--,--,--,19941995,1994,N,521,16,23,39
Jamal Mayers,R,1974-10-24,1974,119,915,90,129,219,"1,200",1:18,--,--,--,356,--,--,--,--,220,120,0,13,3,R,R,1974-10-24,Toronto,ON,CAN,CAN,73,222,1993,4,89,19961997,1996,N,915,90,129,219
Bobby Nystrom,R,1952-10-10,1952,117,900,235,278,513,"1,248",1:23,--,--,--,369,--,--,--,--,240,108,2,12,7,R,R,1952-10-10,Stockholm,--,SWE,SWE,74,200,1972,3,33,19721973,1972,N,900,235,278,513
Warren Rychel,L,1967-05-12,1967,117,406,38,39,77,"1,422",3:30,--,--,--,376,--,--,--,--,216,122,0,22,16,L,L,1967-05-12,Tecumseh,ON,CAN,CAN,72,205,--,--,--,19881989,1988,N,406,38,39,77
Colton Orr,R,1982-03-03,1982,117,477,12,12,24,"1,186",2:29,6:03,41,--,290,--,--,--,--,138,122,0,25,5,R,R,1982-03-03,Winnipeg,MB,CAN,CAN,75,222,--,--,--,20032004,2003,N,477,12,12,24
Krys Barch,R,1980-03-26,1980,116,381,12,23,35,812,2:07,6:22,33.4,--,193,--,--,--,--,70,112,0,9,2,L,R,1980-03-26,Hamilton,ON,CAN,CAN,74,225,1998,4,106,20062007,2006,N,381,12,23,35
Mel Bridgman,C,1955-04-28,1955,113,977,252,449,701,"1,625",1:39,--,--,--,464,--,--,--,--,315,101,0,34,14,L,C,1955-04-28,Trenton,ON,CAN,CAN,72,190,1975,1,1,19751976,1975,N,977,252,449,701
Louie Debrusk,L,1971-03-19,1971,113,401,24,17,41,"1,161",2:53,--,--,--,285,--,--,--,--,138,117,2,16,12,L,L,1971-03-19,Cambridge,ON,CAN,CAN,74,227,1989,3,49,19911992,1991,N,401,24,17,41
Derek Dorsett,R,1986-12-20,1986,113,515,51,76,127,"1,314",2:33,12:24,20.6,--,377,--,--,--,--,241,106,0,29,1,R,R,1986-12-20,Kindersley,SK,CAN,CAN,72,192,2006,7,189,20082009,2008,N,515,51,76,127
Ronnie Stern,R,1967-01-11,1967,112,638,75,86,161,"2,077",3:15,--,--,--,642,--,--,--,--,464,127,0,26,25,R,R,1967-01-11,Ste-Agathe-des-Monts,QC,CAN,CAN,72,200,1986,4,70,19871988,1987,N,638,75,86,161
Garth Butcher,D,1963-01-08,1963,111,897,48,158,206,"2,302",2:33,--,--,--,804,--,--,--,--,645,116,1,30,12,R,D,1963-01-08,Regina,SK,CAN,CAN,72,205,1981,1,10,19811982,1981,N,897,48,158,206
Chris Thorburn,R,1983-06-03,1983,111,801,53,81,134,968,1:12,9:16,13,--,278,--,--,--,--,157,112,0,6,3,R,R,1983-06-03,Sault Ste. Marie,ON,CAN,CAN,75,235,2001,2,50,20052006,2005,N,801,53,81,134
Scott Stevens,D,1964-04-01,1964,110,"1,635",196,712,908,"2,785",1:42,--,--,--,966,--,--,--,--,790,113,1,44,18,L,D,1964-04-01,Kitchener,ON,CAN,CAN,74,215,1982,1,5,19821983,1982,Y,"1,635",196,712,908
Denny Lambert,L,1970-01-07,1970,110,487,27,66,93,"1,391",2:51,--,--,--,406,--,--,--,--,263,113,1,24,5,L,L,1970-01-07,Wawa,ON,CAN,CAN,71,211,--,--,--,19941995,1994,N,487,27,66,93
Zenon Konopka,C,1981-01-02,1981,110,346,12,18,30,"1,082",3:07,8:26,37.1,--,253,--,--,--,--,110,114,0,25,4,L,C,1981-01-02,Niagara on the Lake,ON,CAN,CAN,72,213,--,--,--,20052006,2005,N,346,12,18,30
Steve Ott,C,1982-08-19,1982,110,848,109,179,288,"1,555",1:50,14:34,12.6,--,503,--,--,--,--,365,111,1,23,3,L,C,1982-08-19,Summerside,PE,CAN,CAN,72,193,2000,1,25,20022003,2002,N,848,109,179,288
Bob Boughner,D,1971-03-08,1971,109,630,15,57,72,"1,382",2:11,--,--,--,456,--,--,--,--,330,108,1,11,6,R,D,1971-03-08,Windsor,ON,CAN,CAN,72,205,1989,2,32,19951996,1995,N,630,15,57,72
Jay Wells,D,1959-05-18,1959,108,"1,098",47,216,263,"2,359",2:08,--,--,--,814,--,--,--,--,653,113,1,28,19,L,D,1959-05-18,Paris,ON,CAN,CAN,73,210,1979,1,16,19791980,1979,N,"1,098",47,216,263
Mark Janssens,C,1968-05-19,1968,106,711,40,73,113,"1,422",2:00,--,--,--,437,--,--,--,--,296,116,0,11,14,L,C,1968-05-19,Surrey,BC,CAN,CAN,75,216,1986,4,72,19871988,1987,N,711,40,73,113
Sean O'Donnell,D,1971-10-13,1971,106,"1,224",31,198,229,"1,809",1:28,--,--,--,617,--,--,--,--,480,105,1,19,12,L,D,1971-10-13,Ottawa,ON,CAN,CAN,74,238,1991,6,123,19941995,1994,N,"1,224",31,198,229
Alan May,L,1967-01-14,1967,105,393,31,45,76,"1,348",3:25,--,--,--,355,--,--,--,--,209,106,0,31,9,R,L,1967-01-14,Barrhead,AB,CAN,CAN,73,205,--,--,--,19871988,1987,N,393,31,45,76
Keith Crowder,R,1959-01-06,1959,104,662,223,271,494,"1,354",2:02,--,--,--,471,--,--,--,--,364,92,0,9,6,R,R,1959-01-06,Windsor,ON,CAN,CAN,72,190,1979,3,57,19801981,1980,N,662,223,271,494
Mike Foligno,R,1959-01-29,1959,104,"1,018",355,372,727,"2,047",2:00,--,--,--,682,--,--,--,--,534,103,2,28,15,R,R,1959-01-29,Sudbury,ON,CAN,CAN,74,195,1979,1,3,19791980,1979,N,"1,018",355,372,727
Chris Simon,L,1972-01-30,1972,104,782,144,161,305,"1,824",2:19,--,--,--,590,--,--,--,--,442,108,4,20,16,L,L,1972-01-30,Wawa,ON,CAN,CAN,75,232,1990,2,25,19921993,1992,N,782,144,161,305
Stephane Quintal,D,1968-10-22,1968,103,"1,037",63,180,243,"1,320",1:16,--,--,--,410,--,--,--,--,279,110,2,7,12,R,D,1968-10-22,Boucherville,QC,CAN,CAN,75,233,1987,1,14,19881989,1988,N,"1,037",63,180,243
Rob Ramage,D,1959-01-11,1959,102,"1,044",139,425,564,"2,226",2:07,--,--,--,839,--,--,--,--,706,104,0,21,8,R,D,1959-01-11,Byron,ON,CAN,CAN,74,200,1979,1,1,19791980,1979,N,"1,044",139,425,564
Tony Twist,L,1968-05-09,1968,102,445,10,18,28,"1,121",2:31,--,--,--,292,--,--,--,--,158,107,0,12,15,L,L,1968-05-09,Prince George,BC,CAN,CAN,74,245,1988,9,177,19891990,1989,N,445,10,18,28
Andre Roy,R,1975-02-08,1975,102,515,35,33,68,"1,169",2:16,--,--,--,287,--,--,--,--,147,105,0,26,9,L,R,1975-02-08,Port Chester,NY,USA,USA,76,229,1994,6,151,19951996,1995,N,515,35,33,68
B.J. Crombeen,R,1985-07-10,1985,101,445,34,46,80,850,1:54,11:12,17,--,238,--,--,--,--,129,100,0,8,1,R,R,1985-07-10,Denver,CO,USA,USA,74,209,2003,2,54,20072008,2007,N,445,34,46,80
Pat Price,D,1955-03-24,1955,100,726,43,218,261,"1,456",2:00,--,--,--,464,--,--,--,--,347,84,0,28,5,L,D,1955-03-24,Nelson,BC,CAN,CAN,74,200,1975,1,11,19751976,1975,N,726,43,218,261
Todd Fedoruk,L,1979-02-13,1979,100,545,32,65,97,"1,050",1:55,8:11,23.5,--,308,--,--,--,--,190,102,1,12,3,L,L,1979-02-13,Redwater,AB,CAN,CAN,74,232,1997,7,164,20002001,2000,N,545,32,65,97
Tim Jackman,R,1981-11-14,1981,100,483,32,43,75,806,1:40,9:04,18.4,--,218,--,--,--,--,112,96,0,9,1,R,R,1981-11-14,Minot,ND,USA,USA,74,225,2001,2,38,20032004,2003,N,483,32,43,75
Wilf Paiement,R,1955-10-16,1955,99,946,356,458,814,"1,759",1:51,--,--,--,644,--,--,--,--,528,93,1,20,2,L,R,1955-10-16,Earlton,ON,CAN,CAN,72,209,1974,1,2,19741975,1974,N,946,356,458,814
Jason Strudwick,D,1975-07-17,1975,99,674,13,42,55,811,1:12,--,--,--,242,--,--,--,--,138,101,0,1,2,L,D,1975-07-17,Edmonton,AB,CAN,CAN,76,226,1994,3,63,19951996,1995,N,674,13,42,55
Cam Janssen,R,1984-04-15,1984,99,336,6,8,14,774,2:18,4:47,48.1,--,187,--,--,--,--,77,96,0,11,3,R,R,1984-04-15,St. Louis,MO,USA,USA,72,215,2002,4,117,20052006,2005,N,336,6,8,14
Jim Peplinski,L,1960-10-24,1960,98,711,161,263,424,"1,467",2:03,--,--,--,473,--,--,--,--,351,93,0,21,8,R,L,1960-10-24,Renfrew,ON,CAN,CAN,75,209,1979,4,75,19801981,1980,N,711,161,263,424
Gerard Gallant,L,1963-09-02,1963,98,615,211,269,480,"1,674",2:43,--,--,--,484,--,--,--,--,334,100,2,31,17,L,L,1963-09-02,Summerside,PE,CAN,CAN,70,190,1981,6,107,19841985,1984,N,615,211,269,480
Jeff Beukeboom,D,1965-03-28,1965,98,804,30,129,159,"1,890",2:21,--,--,--,642,--,--,--,--,504,100,1,24,13,R,D,1965-03-28,Ajax,ON,CAN,CAN,77,230,1983,1,19,19861987,1986,N,804,30,129,159
Chris Tamer,D,1970-11-17,1970,98,644,21,64,85,"1,183",1:50,--,--,--,379,--,--,--,--,264,99,1,9,6,L,D,1970-11-17,Dearborn,MI,USA,USA,74,200,1990,4,68,19931994,1993,N,644,21,64,85
Reid Simpson,L,1969-05-21,1969,97,301,18,18,36,838,2:47,--,--,--,217,--,--,--,--,104,100,0,9,4,L,L,1969-05-21,Flin Flon,MB,CAN,CAN,74,216,1989,4,72,19911992,1991,N,301,18,18,36
Terry Ruskowski,C,1954-12-31,1954,96,629,113,313,426,"1,354",2:09,--,--,--,428,--,--,--,--,306,98,1,15,8,L,C,1954-12-31,Prince Albert,SK,CAN,CAN,68,167,1974,4,70,19791980,1979,N,629,113,313,426
Daniel Carcillo,L,1985-01-28,1985,96,429,48,52,100,"1,233",2:52,10:31,27.3,--,322,--,--,--,--,190,95,1,29,7,L,L,1985-01-28,King City,ON,CAN,CAN,72,200,2003,3,73,20062007,2006,N,429,48,52,100
