Player,Pos,DOB,Total Fights,GP,G,A,P,PIM,PIM/GP,TOI/GP,PIM/TOI%,Pen Drawn,Pen Taken,Net Pen,Pen Drawn/60,Pen Taken/60,Net Pen/60,Minor,Major,Match,Msct,G Msct,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,1st Season Corrected,HOF,GP,G,A,P
Stephen Coates,'R',7/27/50,0,5,1,0,1,24,288,'--','--','--',9,'--','--','--','--',7,2,0,0,0,'R','R',7/27/50,Toronto,'ON','CAN','CAN',68,171,NaN,NaN,NaN,19761977,1976.00,'N',5,1,0,1
Jason MacDonald,'R',4/1/74,1,4,0,0,0,19,285,'8:11','58','--',4,'--','--','--','--',2,1,0,0,1,'R','R',4/1/74,Charlottetown,'PE','CAN','CAN',71,205,1992,6,142,20032004,2003.00,'N',4,0,0,0
Garrett Burnett,'L',9/23/75,22,39,1,2,3,184,283,'3:35','131.2','--',47,'--','--','--','--',22,22,0,1,2,'L','L',9/23/75,Vancouver,'BC','CAN','CAN',75,246,NaN,NaN,NaN,20032004,2003.00,'N',39,1,2,3
Benoit Gosselin,'L',7/19/57,3,7,0,0,0,33,282,'--','--','--',8,'--','--','--','--',4,3,0,1,0,'L','L',7/19/57,Montreal,'QC','CAN','CAN',71,190,1977,5,80,19771978,1977.00,'N',7,0,0,0
Shane Churla,'R',6/24/65,143,488,26,45,71,"2,301",282,'--','--','--',609,'--','--','--','--',378,153,1,47,30,'R','R',6/24/65,Fernie,'BC','CAN','CAN',73,205,1985,6,110,19861987,1986.00,'N',488,26,45,71
Bobby Robins,'R',10/17/81,3,3,0,0,0,14,280,'7:35','61.5','4',4,'0','10.55','10.55','0',2,2,0,0,0,'R','R',10/17/81,Rhinelander,'WI','USA','USA',73,220,NaN,NaN,NaN,20142015,2014.00,'N',3,0,0,0
Garret Stroshein,'R',4/4/80,2,3,0,0,0,14,280,'7:15','64.3','--',4,'--','--','--','--',2,2,0,0,0,'R','R',4/4/80,Edmonton,'AB','CAN','CAN',79,245,NaN,NaN,NaN,20032004,2003.00,'N',3,0,0,0
Rocky Thompson,'D',8/8/77,14,25,0,0,0,117,280,'3:47','123.6','--',24,'--','--','--','--',6,15,0,2,1,'R','D',8/8/77,Calgary,'AB','CAN','CAN',74,206,1995,3,72,19971998,1997.00,'N',25,0,0,0
Trevor Gillies,'L',1/30/79,17,57,2,1,3,261,274,'3:14','141.5','--',57,'--','--','--','--',28,17,0,9,3,'L','L',1/30/79,Cambridge,'ON','CAN','CAN',75,231,NaN,NaN,NaN,20052006,2005.00,'N',57,2,1,3
Marc Laforge,'D',1/3/68,4,14,0,0,0,64,274,'--','--','--',18,'--','--','--','--',12,4,0,2,0,'L','D',1/3/68,Sudbury,'ON','CAN','CAN',74,210,1986,2,32,19891990,1989.00,'N',14,0,0,0
Wayne Van Dorp,'L',5/19/61,46,125,12,12,24,570,273,'--','--','--',142,'--','--','--','--',78,46,0,15,3,'L','L',5/19/61,Burnaby,'BC','CAN','CAN',76,225,NaN,NaN,NaN,19861987,1986.00,'N',125,12,12,24
Gary Rissling,'L',8/18/56,50,221,23,30,53,"1,006",273,'--','--','--',250,'--','--','--','--',155,52,2,30,11,'L','L',8/18/56,Saskatoon,'SK','CAN','CAN',69,174,NaN,NaN,NaN,19781979,1978.00,'N',221,23,30,53
Terry Ryan,'L',1/14/77,3,8,0,0,0,36,270,'--','--','--',8,'--','--','--','--',3,4,0,1,0,'L','L',1/14/77,St. Johns,'NL','CAN','CAN',73,201,1995,1,8,19961997,1996.00,'N',8,0,0,0
Scott Daniels,'L',9/19/69,60,149,8,12,20,667,268,'--','--','--',157,'--','--','--','--',74,63,1,12,7,'L','L',9/19/69,Mistawasis,'SK','CAN','CAN',75,215,1989,7,136,19921993,1992.00,'N',149,8,12,20
Brantt Myhres,'R',3/18/74,54,154,6,2,8,687,267,'--','--','--',142,'--','--','--','--',56,57,1,16,12,'R','R',3/18/74,Edmonton,'AB','CAN','CAN',75,220,1992,5,97,19941995,1994.00,'N',154,6,2,8
Dody Wood,'C',3/18/72,43,106,8,10,18,471,266,'--','--','--',108,'--','--','--','--',48,45,0,9,6,'L','C',3/18/72,Chetwynd,'BC','CAN','CAN',72,200,1991,3,45,19921993,1992.00,'N',106,8,10,18
Bennett Wolf,'D',10/23/59,9,30,0,1,1,133,266,'--','--','--',41,'--','--','--','--',29,9,0,1,2,'--','D',10/23/59,Kitchener,'ON','CAN','CAN',75,205,1979,3,52,19801981,1980.00,'N',30,0,1,1
Chris Nilan,'R',2/9/58,247,688,110,115,225,"3,043",265,'--','--','--',754,'--','--','--','--',420,231,3,73,27,'R','R',2/9/58,Boston,'MA','USA','USA',72,205,1978,19,231,19791980,1979.00,'N',688,110,115,225
Kelly Chase,'R',10/25/67,171,458,17,36,53,"2,017",264,'--','--','--',476,'--','--','--','--',236,171,0,44,25,'R','R',10/25/67,Porcupine Plain,'SK','CAN','CAN',71,201,NaN,NaN,NaN,19891990,1989.00,'N',458,17,36,53
Richard Zemlak,'C',3/3/63,47,133,2,12,14,587,264,'--','--','--',144,'--','--','--','--',76,49,0,13,6,'R','C',3/3/63,Wynyard,'SK','CAN','CAN',74,190,1981,10,209,19861987,1986.00,'N',133,2,12,14
Rod Dallman,'L',1/26/67,2,6,1,0,1,26,260,'--','--','--',6,'--','--','--','--',3,2,0,0,1,'L','L',1/26/67,Quesnel,'BC','CAN','CAN',71,185,1985,6,118,19871988,1987.00,'N',6,1,0,1
Dane Byers,'L',2/21/86,9,14,1,0,1,60,257,'7:15','59.1','--',12,'--','--','--','--',5,4,1,1,1,'L','L',2/21/86,Nipawin,'SK','CAN','CAN',75,204,2004,2,48,20072008,2007.00,'N',14,1,0,1
Dave Schultz,'L',10/14/49,154,535,79,121,200,"2,292",257,'--','--','--',541,'--','--','--','--',308,134,1,73,25,'L','L',10/14/49,Waldheim,'SK','CAN','CAN',73,185,1969,5,52,19711972,1971.00,'N',535,79,121,200
Brett Gallant,'L',12/28/88,9,4,0,0,0,17,255,'6:53','61.7','4',4,'0','8.72','8.72','0',1,3,0,0,0,'L','L',12/28/88,Summerside,'PE','CAN','CAN',72,191,NaN,NaN,NaN,20132014,2013.00,'N',4,0,0,0
Mike Peluso,'L',11/8/65,172,458,38,52,90,"1,951",255,'--','--','--',481,'--','--','--','--',248,175,0,38,20,'L','L',11/8/65,Pengilly,'MN','USA','USA',76,225,1984,10,191,19891990,1989.00,'N',458,38,52,90
Basil McRae,'L',1/5/61,204,576,53,83,136,"2,457",255,'--','--','--',586,'--','--','--','--',300,201,3,66,16,'L','L',1/5/61,Beaverton,'ON','CAN','CAN',74,210,1980,5,87,19811982,1981.00,'N',576,53,83,136
Jamie Linden,'R',7/19/72,1,4,0,0,0,17,255,'--','--','--',3,'--','--','--','--',1,1,0,1,0,'R','R',7/19/72,Medicine Hat,'AB','CAN','CAN',77,195,NaN,NaN,NaN,19941995,1994.00,'N',4,0,0,0
Gino Odjick,'L',9/7/70,148,605,64,73,137,"2,567",254,'--','--','--',673,'--','--','--','--',422,159,2,60,30,'L','L',9/7/70,Maniwaki,'QC','CAN','CAN',75,224,1990,5,86,19901991,1990.00,'N',605,64,73,137
Steve McLaren,'L',2/3/75,5,6,0,0,0,25,250,'2:46','149.9','--',5,'--','--','--','--',0,5,0,0,0,'L','L',2/3/75,Owen Sound,'ON','CAN','CAN',72,226,1994,4,85,20032004,2003.00,'N',6,0,0,0
Martin Simard,'R',1/25/66,17,44,1,5,6,183,249,'--','--','--',42,'--','--','--','--',19,17,0,4,2,'R','R',1/25/66,Montreal,'QC','CAN','CAN',75,215,NaN,NaN,NaN,19901991,1990.00,'N',44,1,5,6
Dave Williams,'L',2/3/54,246,962,241,272,513,"3,971",247,'--','--','--',1155,'--','--','--','--',796,249,4,70,36,'L','L',2/3/54,Weyburn,'SK','CAN','CAN',71,190,1974,2,31,19741975,1974.00,'N',962,241,272,513
John Kordic,'R',3/22/65,94,244,17,18,35,997,245,'--','--','--',238,'--','--','--','--',116,91,0,16,15,'R','R',3/22/65,Edmonton,'AB','CAN','CAN',74,210,1983,4,78,19851986,1985.00,'N',244,17,18,35
Doug Doull,'L',5/31/74,22,37,0,1,1,151,244,'2:53','141.3','--',33,'--','--','--','--',8,23,0,1,1,'L','L',5/31/74,Glace Bay,'NS','CAN','CAN',74,216,NaN,NaN,NaN,20032004,2003.00,'N',37,0,1,1
Joel Rechlicz,'R',6/14/87,15,26,0,1,1,105,242,'4:01','100.2','--',24,'--','--','--','--',10,11,0,3,0,'R','R',6/14/87,Brookfield,'WI','USA','USA',76,220,NaN,NaN,NaN,20082009,2008.00,'N',26,0,1,1
Frank Bialowas,'D',9/25/70,2,3,0,0,0,12,240,'--','--','--',3,'--','--','--','--',1,2,0,0,0,'L','D',9/25/70,Winnipeg,'MB','CAN','CAN',71,225,NaN,NaN,NaN,19931994,1993.00,'N',3,0,0,0
Dave Allison,'D',4/14/59,2,3,0,0,0,12,240,'--','--','--',3,'--','--','--','--',1,2,0,0,0,'R','D',4/14/59,Fort Frances,'ON','CAN','CAN',73,200,NaN,NaN,NaN,19831984,1983.00,'N',3,0,0,0
Mitch Wilson,'R',2/15/60,9,26,2,3,5,104,240,'--','--','--',25,'--','--','--','--',12,10,0,1,2,'L','R',2/15/60,Calgary,'AB','CAN','CAN',72,238,NaN,NaN,NaN,19841985,1984.00,'N',26,2,3,5
Archie Henderson,'R',2/17/57,7,23,3,1,4,92,240,'--','--','--',18,'--','--','--','--',6,8,0,2,2,'R','R',2/17/57,Calgary,'AB','CAN','CAN',78,220,1977,10,156,19801981,1980.00,'N',23,3,1,4
Jonathan Sigalet,'D',2/12/86,0,1,0,0,0,4,240,'14:41','27.2','--',2,'--','--','--','--',2,0,0,0,0,'L','D',2/12/86,Vancouver,'BC','CAN','CAN',73,185,2005,4,100,20062007,2006.00,'N',1,0,0,0
Patrick Mayer,'D',7/24/61,0,1,0,0,0,4,240,'--','--','--',2,'--','--','--','--',2,0,0,0,0,'--','D',7/24/61,Royal Oak,'MI','USA','USA',75,224,NaN,NaN,NaN,19871988,1987.00,'N',1,0,0,0
Kevin Devine,'L',12/9/54,0,2,0,1,1,8,240,'--','--','--',4,'--','--','--','--',4,0,0,0,0,'L','L',12/9/54,Toronto,'ON','CAN','CAN',68,165,1974,7,121,19821983,1982.00,'N',2,0,1,1
Jim Cunningham,'L',8/15/56,0,1,0,0,0,4,240,'--','--','--',2,'--','--','--','--',2,0,0,0,0,'L','L',8/15/56,St. Paul,'MN','USA','USA',71,185,NaN,NaN,NaN,19771978,1977.00,'N',1,0,0,0
Peter Worrell,'L',8/18/77,130,391,19,27,46,"1,554",238,'8:04','49.3','--',449,'--','--','--','--',282,136,0,23,8,'L','L',8/18/77,Pierrefonds,'QC','CAN','CAN',79,250,1995,7,166,19971998,1997.00,'N',391,19,27,46
Torrie Robertson,'L',8/2/61,167,442,49,99,148,"1,751",237,'--','--','--',500,'--','--','--','--',305,163,1,22,9,'L','L',8/2/61,Victoria,'BC','CAN','CAN',71,200,1980,3,55,19801981,1980.00,'N',442,49,99,148
Enrico Ciccone,'D',4/10/70,80,374,10,18,28,"1,469",235,'--','--','--',419,'--','--','--','--',287,85,2,27,18,'L','D',4/10/70,Montreal,'QC','CAN','CAN',77,222,1990,5,92,19911992,1991.00,'N',374,10,18,28
Brad Miller,'D',7/23/69,16,82,1,5,6,321,234,'--','--','--',91,'--','--','--','--',63,17,0,5,6,'L','D',7/23/69,Edmonton,'AB','CAN','CAN',76,220,1987,2,22,19881989,1988.00,'N',82,1,5,6
Lyndon Byers,'R',2/29/64,89,279,28,43,71,"1,081",232,'--','--','--',270,'--','--','--','--',148,87,0,24,11,'R','R',2/29/64,Nipawin,'SK','CAN','CAN',73,200,1982,2,39,19831984,1983.00,'N',279,28,43,71
Jay Miller,'L',7/16/60,170,446,40,44,84,"1,723",231,'--','--','--',425,'--','--','--','--',212,167,0,29,17,'L','L',7/16/60,Natick,'MA','USA','USA',74,210,1980,4,66,19851986,1985.00,'N',446,40,44,84
Tim Hunter,'R',9/10/60,196,815,62,76,138,"3,146",231,'--','--','--',873,'--','--','--','--',573,202,1,57,40,'R','R',9/10/60,Calgary,'AB','CAN','CAN',74,200,1979,3,54,19811982,1981.00,'N',815,62,76,138
Brian Curran,'D',11/5/63,85,381,7,33,40,"1,461",230,'--','--','--',406,'--','--','--','--',274,83,0,38,11,'L','D',11/5/63,Toronto,'ON','CAN','CAN',76,230,1982,2,22,19831984,1983.00,'N',381,7,33,40
Andrew Rymsha,'D',12/10/68,0,6,0,0,0,23,230,'--','--','--',6,'--','--','--','--',4,1,0,0,1,'L','D',12/10/68,St. Catharines,'ON','CAN','CAN',75,210,1987,4,82,19911992,1991.00,'N',6,0,0,0
Mike Brown,'L',4/27/79,16,34,1,2,3,130,229,'4:21','87.6','--',33,'--','--','--','--',15,16,0,2,0,'L','L',4/27/79,Surrey,'BC','CAN','CAN',76,225,1997,1,20,20002001,2000.00,'N',34,1,2,3
Gerry Fleming,'L',10/16/66,2,11,0,0,0,42,229,'--','--','--',10,'--','--','--','--',6,2,0,1,1,'L','L',10/16/66,Montreal,'QC','CAN','CAN',77,253,NaN,NaN,NaN,19931994,1993.00,'N',11,0,0,0
Allan Stewart,'L',1/31/64,30,64,6,4,10,243,227,'--','--','--',63,'--','--','--','--',29,31,0,1,2,'L','L',1/31/64,Fort st. John,'BC','CAN','CAN',72,195,1983,11,205,19851986,1985.00,'N',64,6,4,10
Kevin Kaminski,'C',3/13/69,36,139,3,10,13,528,227,'--','--','--',146,'--','--','--','--',93,38,0,11,4,'L','C',3/13/69,Churchbridge,'SK','CAN','CAN',70,190,1987,3,48,19881989,1988.00,'N',139,3,10,13
Glen Cochrane,'D',1/29/58,82,411,17,72,89,"1,556",227,'--','--','--',450,'--','--','--','--',318,82,0,31,19,'L','D',1/29/58,Kamloops,'BC','CAN','CAN',72,210,1978,3,50,19781979,1978.00,'N',411,17,72,89
Marc Potvin,'R',1/29/67,54,121,3,5,8,456,226,'--','--','--',118,'--','--','--','--',58,52,0,2,6,'R','R',1/29/67,Ottawa,'ON','CAN','CAN',73,215,1986,9,169,19901991,1990.00,'N',121,3,5,8
Gord Donnelly,'D',4/5/62,147,554,28,41,69,"2,069",224,'--','--','--',565,'--','--','--','--',352,155,2,32,24,'R','D',4/5/62,Montreal,'QC','CAN','CAN',73,202,1981,3,62,19831984,1983.00,'N',554,28,41,69
Remi Royer,'D',2/12/78,3,18,0,0,0,67,223,'13:36','27.4','--',21,'--','--','--','--',16,3,0,2,0,'R','D',2/12/78,Donnacona,'QC','CAN','CAN',73,183,1996,2,31,19981999,1998.00,'N',18,0,0,0
David Liffiton,'D',10/18/84,2,7,1,0,1,26,222,'8:47','42.2','--',6,'--','--','--','--',3,2,0,1,0,'L','D',10/18/84,Windsor,'ON','CAN','CAN',74,210,2003,2,63,20052006,2005.00,'N',7,1,0,1
Akim Aliu,'R',4/24/89,0,7,2,1,3,26,222,'10:54','34','9',5,'4','7.07','3.93','3.14',3,0,0,2,0,'R','R',4/24/89,Okene,'--','NGA','NGA',76,225,2007,2,56,20112012,2011.00,'N',7,2,1,3
Mark Visheau,'D',6/27/73,13,29,1,3,4,107,221,'--','--','--',26,'--','--','--','--',11,13,0,2,0,'R','D',6/27/73,Burlington,'ON','CAN','CAN',76,197,1992,4,84,19931994,1993.00,'N',29,1,3,4
Todd Ewen,'R',3/22/66,150,518,36,40,76,"1,914",221,'--','--','--',542,'--','--','--','--',342,154,0,25,21,'R','R',3/22/66,Saskatoon,'SK','CAN','CAN',75,230,1984,8,168,19861987,1986.00,'N',518,36,40,76
Ron Talakoski,'R',6/1/62,4,9,0,1,1,33,220,'--','--','--',9,'--','--','--','--',4,5,0,0,0,'R','R',6/1/62,Thunder Bay,'ON','CAN','CAN',75,220,NaN,NaN,NaN,19861987,1986.00,'N',9,0,1,1
Jim Boo,'D',12/11/54,2,6,0,0,0,22,220,'--','--','--',4,'--','--','--','--',1,2,0,1,0,'R','D',12/11/54,Rolla,'MO','USA','USA',73,200,NaN,NaN,NaN,19771978,1977.00,'N',6,0,0,0
Gordie Nelson,'D',5/10/47,1,3,0,0,0,11,220,'--','--','--',4,'--','--','--','--',3,1,0,0,0,'L','D',5/10/47,Kinistino,'SK','CAN','CAN',68,180,NaN,NaN,NaN,19691970,1969.00,'N',3,0,0,0
Kevin Sawyer,'L',2/18/74,45,110,3,3,6,403,219,'--','--','--',104,'--','--','--','--',49,49,1,2,3,'L','L',2/18/74,Trail,'BC','CAN','CAN',74,202,NaN,NaN,NaN,19951996,1995.00,'N',110,3,3,6
Darren Banks,'L',5/18/66,5,20,2,2,4,73,219,'--','--','--',21,'--','--','--','--',14,5,0,1,1,'L','L',5/18/66,Toronto,'ON','CAN','CAN',74,215,NaN,NaN,NaN,19921993,1992.00,'N',20,2,2,4
Gordie Dwyer,'L',1/25/78,41,108,0,5,5,394,218,'5:43','63.8','--',102,'--','--','--','--',52,42,0,6,2,'L','L',1/25/78,Dalhousie,'NB','CAN','CAN',75,202,1998,6,152,19992000,1999.00,'N',108,0,5,5
Allan Tuer,'D',7/19/63,20,57,1,1,2,208,218,'--','--','--',58,'--','--','--','--',34,20,0,3,1,'L','D',7/19/63,North Battleford,'SK','CAN','CAN',72,189,1981,9,186,19851986,1985.00,'N',57,1,1,2
Kip Brennan,'L',8/27/80,20,61,1,1,2,222,218,'4:39','78.2','--',53,'--','--','--','--',26,20,0,3,4,'L','L',8/27/80,Kingston,'ON','CAN','CAN',76,230,1998,4,103,20012002,2001.00,'N',61,1,1,2
Darcy Verot,'C',7/13/76,10,37,0,2,2,135,218,'8:48','41.4','--',39,'--','--','--','--',25,11,0,2,1,'L','C',7/13/76,Radville,'SK','CAN','CAN',72,199,NaN,NaN,NaN,20032004,2003.00,'N',37,0,2,2
Jay Caufield,'R',7/17/60,49,208,5,8,13,759,218,'--','--','--',185,'--','--','--','--',102,55,1,20,7,'R','R',7/17/60,Philadelphia,'PA','USA','USA',76,237,NaN,NaN,NaN,19861987,1986.00,'N',208,5,8,13
Randy Holt,'D',1/15/53,70,395,4,37,41,"1,438",218,'--','--','--',402,'--','--','--','--',279,72,1,34,16,'R','D',1/15/53,Pembroke,'ON','CAN','CAN',71,185,1973,3,45,19741975,1974.00,'N',395,4,37,41
Jim Thomson,'R',12/30/65,30,115,4,3,7,416,217,'--','--','--',92,'--','--','--','--',43,32,0,8,9,'R','R',12/30/65,Edmonton,'AB','CAN','CAN',73,220,1984,9,185,19861987,1986.00,'N',115,4,3,7
Mike Duco,'R',7/8/87,9,18,0,2,2,65,216,'7:55','45.6','7',13,'-6','2.94','5.47','-2.52',5,5,0,2,1,'L','R',7/8/87,Toronto,'ON','CAN','CAN',70,200,NaN,NaN,NaN,20092010,2009.00,'N',18,0,2,2
Mick Vukota,'R',9/14/66,184,573,17,29,46,"2,071",216,'--','--','--',538,'--','--','--','--',298,185,0,42,13,'R','R',9/14/66,Saskatoon,'SK','CAN','CAN',73,225,NaN,NaN,NaN,19871988,1987.00,'N',573,17,29,46
Patrick Cote,'L',1/24/75,50,105,1,2,3,377,215,'--','--','--',84,'--','--','--','--',26,51,0,6,1,'L','L',1/24/75,LaSalle,'QC','CAN','CAN',75,220,1995,2,37,19951996,1995.00,'N',105,1,2,3
Rob Ray,'R',6/8/68,239,900,41,50,91,"3,207",213,'--','--','--',778,'--','--','--','--',421,241,2,88,26,'L','R',6/8/68,Stirling,'ON','CAN','CAN',72,222,1988,5,97,19891990,1989.00,'N',900,41,50,91
Bob Gassoff,'D',4/17/53,41,245,11,47,58,866,212,'--','--','--',279,'--','--','--','--',211,48,2,11,7,'L','D',4/17/53,Quesnel,'BC','CAN','CAN',70,195,1973,3,48,19731974,1973.00,'N',245,11,47,58
Krzysztof Oliwa,'L',4/12/73,163,410,17,28,45,"1,447",211,'--','--','--',371,'--','--','--','--',181,163,3,18,6,'L','L',4/12/73,Tychy,'--','POL','POL',77,245,1993,3,65,19961997,1996.00,'N',410,17,28,45
Paul Stewart,'R',3/21/55,6,21,2,0,2,74,211,'--','--','--',16,'--','--','--','--',7,6,0,1,2,'--','R',3/21/55,Boston,'MA','USA','USA',77,NaN,NaN,NaN,NaN,19791980,1979.00,'N',21,2,0,2
Bob Probert,'L',6/5/65,231,935,163,221,384,"3,300",211,'--','--','--',964,'--','--','--','--',644,238,7,42,33,'L','L',6/5/65,Windsor,'ON','CAN','CAN',75,220,1983,3,46,19851986,1985.00,'N',935,163,221,384
