Player,Pos,DOB,Total Fights,GP,G,A,P,PIM,PIM/GP,TOI/GP,PIM/TOI%,Pen Drawn,Pen Taken,Net Pen,Pen Drawn/60,Pen Taken/60,Net Pen/60,Minor,Major,Match,Msct,G Msct,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,1st Season Corrected,HOF,GP,G,A,P
Mike Moller,'R',6/16/62,0,134,15,28,43,41,18,'--','--','--',19,'--','--','--','--',18,1,0,0,0,'R','R',6/16/62,Calgary,'AB','CAN','CAN',73,187,1980,2,41,19801981,1980,'N',134,15,28,43
David Latta,'L',1/3/67,0,36,4,8,12,4,6,'--','--','--',2,'--','--','--','--',2,0,0,0,0,'L','L',1/3/67,Thunder Bay,'ON','CAN','CAN',73,190,1985,1,15,19851986,1985,'N',36,4,8,12
Chris Mueller,'C',3/6/86,0,53,3,7,10,8,9,'9:43','1.6','6',4,'2','0.7','0.47','0.23',4,0,0,0,0,'R','C',3/6/86,West Seneca,'NY','USA','USA',70,201,NaN,NaN,NaN,20102011,2010,'N',53,3,7,10
Lew Morrison,'R',2/11/48,4,564,39,52,91,107,11,'--','--','--',45,'--','--','--','--',40,5,0,0,0,'R','R',2/11/48,Gainsborough,'SK','CAN','CAN',72,185,1968,1,8,19691970,1969,'N',564,39,52,91
Mike Sislo,'R',1/20/88,0,42,3,2,5,6,8,'11:11','1.3','2',3,'-1','0.26','0.38','-0.13',3,0,0,0,0,'R','R',1/20/88,Superior,'WI','USA','USA',71,190,NaN,NaN,NaN,20132014,2013,'N',42,3,2,5
Jonas Hoglund,'R',8/29/72,0,545,117,145,262,112,12,'--','--','--',56,'--','--','--','--',56,0,0,0,0,'R','R',8/29/72,Hammaro,'--','SWE','SWE',75,218,1992,10,222,19961997,1996,'N',545,117,145,262
Jan Erixon,'L',7/8/62,1,556,57,159,216,167,18,'--','--','--',75,'--','--','--','--',71,3,0,0,1,'L','L',7/8/62,Skellefteå,'--','SWE','SWE',72,196,1981,2,30,19831984,1983,'N',556,57,159,216
Grigori Panteleev,'L',11/17/72,0,54,8,6,14,12,13,'--','--','--',6,'--','--','--','--',6,0,0,0,0,'L','L',11/17/72,Gastello,'--','RUS','LVA',69,194,1992,6,136,19921993,1992,'N',54,8,6,14
Eric Daze,'L',7/2/75,0,601,226,172,398,176,17,'--','--','--',80,'--','--','--','--',78,0,0,1,1,'L','L',7/2/75,Montreal,'QC','CAN','CAN',78,235,1993,4,90,19941995,1994,'N',601,226,172,398
Patrick Rissmiller,'L',10/26/78,0,192,18,28,46,60,18,'12:04','2.6','--',30,'--','--','--','--',30,0,0,0,0,'L','L',10/26/78,Belmont,'MA','USA','USA',76,225,NaN,NaN,NaN,20032004,2003,'N',192,18,28,46
Sylvain Couturier,'C',4/23/68,0,33,4,5,9,4,7,'--','--','--',2,'--','--','--','--',2,0,0,0,0,'L','C',4/23/68,Greenfield Park,'QC','CAN','CAN',74,205,1986,4,65,19881989,1988,'N',33,4,5,9
Rick Kehoe,'R',7/15/51,0,906,371,396,767,120,7,'--','--','--',56,'--','--','--','--',55,0,0,0,1,'R','R',7/15/51,Windsor,'ON','CAN','CAN',71,180,1971,2,22,19711972,1971,'N',906,371,396,767
Vladimir Tsyplakov,'L',4/18/69,0,331,69,101,170,90,16,'--','--','--',45,'--','--','--','--',45,0,0,0,0,'L','L',4/18/69,Moscow,'--','RUS','BLR',73,210,1995,3,59,19951996,1995,'N',331,69,101,170
Chris Nielsen,'R',2/16/80,0,52,6,8,14,8,9,'10:37','1.5','--',4,'--','--','--','--',4,0,0,0,0,'R','R',2/16/80,Moshi,'--','TZA','CAN',74,214,1998,2,36,20002001,2000,'N',52,6,8,14
Ryan Hamilton,'L',4/15/85,0,30,1,4,5,8,16,'12:12','2.2','2',4,'-2','0.33','0.66','-0.33',4,0,0,0,0,'L','L',4/15/85,Oshawa,'ON','CAN','CAN',74,219,NaN,NaN,NaN,20112012,2011,'N',30,1,4,5
Brandon Smith,'D',2/25/73,0,33,3,4,7,10,18,'15:58','1.9','--',5,'--','--','--','--',5,0,0,0,0,'L','D',2/25/73,Hazelton,'BC','CAN','CAN',73,200,NaN,NaN,NaN,19981999,1998,'N',33,3,4,7
Arto Blomsten,'D',3/16/65,0,25,0,4,4,8,19,'--','--','--',4,'--','--','--','--',4,0,0,0,0,'L','D',3/16/65,Vaasa,'--','FIN','SWE',75,198,1986,12,239,19931994,1993,'N',25,0,4,4
Ivan Hlinka,'C',1/26/50,0,137,42,81,123,28,12,'--','--','--',14,'--','--','--','--',14,0,0,0,0,'L','C',1/26/50,Most,'--','CZE','CZE',74,220,NaN,NaN,NaN,19811982,1981,'N',137,42,81,123
Frank Spring,'R',10/19/49,0,61,14,20,34,12,11,'--','--','--',6,'--','--','--','--',6,0,0,0,0,'R','R',10/19/49,Cranbrook,'BC','CAN','CAN',75,216,1969,1,4,19691970,1969,'N',61,14,20,34
Matt Taormina,'D',10/20/86,0,59,4,8,12,6,6,'17:13','0.6','8',3,'5','0.47','0.18','0.3',3,0,0,0,0,'L','D',10/20/86,Warren,'MI','USA','USA',70,188,NaN,NaN,NaN,20102011,2010,'N',59,4,8,12
Lyle Phair,'D',3/8/61,0,48,6,7,13,12,15,'--','--','--',6,'--','--','--','--',6,0,0,0,0,'L','D',3/8/61,Pilot Mound,'MB','CAN','CAN',72,189,NaN,NaN,NaN,19851986,1985,'N',48,6,7,13
Rick Shinske,'C',5/31/55,0,63,5,16,21,10,9,'--','--','--',5,'--','--','--','--',5,0,0,0,0,'L','C',5/31/55,Weyburn,'SK','CAN','CAN',70,165,1975,7,111,19761977,1976,'N',63,5,16,21
Drew Callander,'R',8/17/56,1,39,6,2,8,7,10,'--','--','--',2,'--','--','--','--',1,1,0,0,0,'R','R',8/17/56,Regina,'SK','CAN','CAN',74,185,1976,2,35,19761977,1976,'N',39,6,2,8
Dwight King,'L',7/5/89,6,365,53,56,109,98,16,'14:18','1.9','31',41,'-10','0.36','0.47','-0.11',37,4,0,0,0,'L','L',7/5/89,Meadow Lake,'SK','CAN','CAN',76,229,2007,4,109,20102011,2010,'N',365,53,56,109
Andy Brickley,'L',8/9/61,1,385,82,140,222,81,12,'--','--','--',39,'--','--','--','--',38,1,0,0,0,'L','L',8/9/61,Melrose,'MA','USA','USA',71,200,1980,10,210,19821983,1982,'N',385,82,140,222
Patric Kjellberg,'L',6/17/69,0,394,64,96,160,84,12,'--','--','--',42,'--','--','--','--',42,0,0,0,0,'L','L',6/17/69,Trelleborg,'--','SWE','SWE',75,210,1988,4,83,19921993,1992,'N',394,64,96,160
Pat MacLeod,'D',6/15/69,0,53,5,13,18,14,15,'--','--','--',7,'--','--','--','--',7,0,0,0,0,'L','D',6/15/69,Melfort,'SK','CAN','CAN',71,190,1989,5,87,19901991,1990,'N',53,5,13,18
Peter Douris,'R',2/19/66,5,321,54,67,121,80,14,'--','--','--',34,'--','--','--','--',30,4,0,0,0,'R','R',2/19/66,Toronto,'ON','CAN','CAN',73,195,1984,2,30,19851986,1985,'N',321,54,67,121
James Black,'L',8/15/69,0,352,58,57,115,84,14,'--','--','--',38,'--','--','--','--',37,0,0,1,0,'L','L',8/15/69,Regina,'SK','CAN','CAN',71,210,1989,5,94,19891990,1989,'N',352,58,57,115
John Anderson,'R',3/28/57,3,814,282,349,631,261,19,'--','--','--',114,'--','--','--','--',108,3,0,3,0,'L','R',3/28/57,Toronto,'ON','CAN','CAN',71,200,1977,1,11,19771978,1977,'N',814,282,349,631
Don Spring,'D',6/16/59,0,259,1,54,55,80,18,'--','--','--',37,'--','--','--','--',35,2,0,0,0,'L','D',6/16/59,Maracaibo,'--','VEN','CAN',70,194,NaN,NaN,NaN,19801981,1980,'N',259,1,54,55
Brad Schlegel,'D',7/22/68,0,48,1,8,9,10,12,'--','--','--',5,'--','--','--','--',5,0,0,0,0,'R','D',7/22/68,Kitchener,'ON','CAN','CAN',70,188,1988,7,144,19911992,1991,'N',48,1,8,9
Jeff Heerema,'R',1/17/80,0,32,4,2,6,6,11,'9:56','1.9','--',3,'--','--','--','--',3,0,0,0,0,'R','R',1/17/80,Thunder Bay,'ON','CAN','CAN',74,212,1998,1,11,20022003,2002,'N',32,4,2,6
Jamie Leach,'R',8/25/69,0,81,11,9,20,12,8,'--','--','--',6,'--','--','--','--',6,0,0,0,0,'R','R',8/25/69,Philadelphia,'PA','USA','USA',73,205,1987,3,47,19891990,1989,'N',81,11,9,20
Michael McNeil,'R',7/22/66,0,63,5,11,16,18,17,'--','--','--',9,'--','--','--','--',9,0,0,0,0,'L','R',7/22/66,Winona,'MN','USA','USA',73,195,NaN,NaN,NaN,19901991,1990,'N',63,5,11,16
Jesse Belanger,'C',6/15/69,0,246,59,76,135,56,13,'--','--','--',27,'--','--','--','--',27,0,0,0,0,'R','C',6/15/69,St-Georges De Beauce,'QC','CAN','CAN',73,190,NaN,NaN,NaN,19911992,1991,'N',246,59,76,135
Jack Brownschidle,'D',10/2/55,2,494,39,162,201,151,18,'--','--','--',71,'--','--','--','--',68,3,0,0,0,'L','D',10/2/55,Buffalo,'NY','USA','USA',74,195,1975,6,99,19771978,1977,'N',494,39,162,201
Rob Valicevic,'R',1/6/71,0,193,28,20,48,61,18,'13:03','2.4','--',29,'--','--','--','--',28,1,0,0,0,'R','R',1/6/71,Detroit,'MI','USA','USA',74,208,1991,6,114,19981999,1998,'N',193,28,20,48
Radoslav Suchy,'D',4/7/76,0,451,13,58,71,104,13,'17:52','1.3','--',52,'--','--','--','--',52,0,0,0,0,'L','D',4/7/76,Kezmarok,'--','SVK','SVK',74,201,NaN,NaN,NaN,19992000,1999,'N',451,13,58,71
Peter Ratchuk,'D',9/10/77,0,32,1,1,2,10,18,'13:43','2.3','--',5,'--','--','--','--',5,0,0,0,0,'L','D',9/10/77,Buffalo,'NY','USA','USA',72,175,1996,1,25,19981999,1998,'N',32,1,1,2
Brett Carson,'D',11/29/85,0,90,2,11,13,20,13,'15:10','1.5','--',10,'--','--','--','--',10,0,0,0,0,'R','D',11/29/85,Regina,'SK','CAN','CAN',76,210,2004,4,109,20082009,2008,'N',90,2,11,13
Evgeny Grachev,'C',2/21/90,0,34,1,3,4,2,3,'8:57','0.7','4',1,'3','0.79','0.2','0.59',1,0,0,0,0,'R','C',2/21/90,Khabarovsk,'--','RUS','RUS',76,225,2008,3,75,20102011,2010,'N',34,1,3,4
Marko Kiprusoff,'D',6/6/72,0,51,0,10,10,12,14,'--','--','--',6,'--','--','--','--',6,0,0,0,0,'R','D',6/6/72,Turku,'--','FIN','FIN',72,194,1994,3,70,19951996,1995,'N',51,0,10,10
Mike Sullivan,'C',2/27/68,1,709,54,82,136,203,17,'--','--','--',100,'--','--','--','--',99,1,0,0,0,'L','C',2/27/68,Marshfield,'MA','USA','USA',74,211,1987,4,69,19911992,1991,'N',709,54,82,136
Jean-Marc Lanthier,'R',3/27/63,0,105,16,16,32,29,16,'--','--','--',13,'--','--','--','--',12,1,0,0,0,'R','R',3/27/63,Montreal,'QC','CAN','CAN',74,195,1981,3,52,19831984,1983,'N',105,16,16,32
James Masters,'D',4/14/55,0,33,1,13,14,2,3,'--','--','--',1,'--','--','--','--',1,0,0,0,0,'R','D',4/14/55,Toronto,'ON','CAN','CAN',73,187,1975,2,36,19751976,1975,'N',33,1,13,14
Greg Hubick,'D',11/12/51,0,77,6,9,15,10,7,'--','--','--',5,'--','--','--','--',5,0,0,0,0,'L','D',11/12/51,Strasbourg,'SK','CAN','CAN',71,185,1971,4,53,19751976,1975,'N',77,6,9,15
Tommy Vestlund,'L',12/29/74,3,203,9,13,22,48,14,'9:58','2.4','--',21,'--','--','--','--',19,2,0,0,0,'R','L',12/29/74,Fors,'--','SWE','SWE',72,202,1998,4,93,19992000,1999,'N',203,9,13,22
Ken Hodge Jr.,'C',4/13/66,0,142,39,48,87,32,13,'--','--','--',16,'--','--','--','--',16,0,0,0,0,'L','C',4/13/66,Windsor,'ON','CAN','CAN',73,200,1984,3,46,19881989,1988,'N',142,39,48,87
Petr Schastlivy,'L',4/18/79,0,129,18,22,40,30,13,'11:17','2.1','--',15,'--','--','--','--',15,0,0,0,0,'L','L',4/18/79,Yaroslavl,'--','RUS','RUS',73,204,1998,4,101,19992000,1999,'N',129,18,22,40
Chris Felix,'D',5/27/64,0,35,1,12,13,10,17,'--','--','--',5,'--','--','--','--',5,0,0,0,0,'R','D',5/27/64,Toronto,'ON','CAN','CAN',71,190,NaN,NaN,NaN,19881989,1988,'N',35,1,12,13
Eric Chouinard,'C',7/8/80,0,90,11,11,22,16,10,'10:49','1.6','--',8,'--','--','--','--',8,0,0,0,0,'L','C',7/8/80,Atlanta,'GA','USA','CAN',75,215,1998,1,16,20002001,2000,'N',90,11,11,22
Jaroslav Bednar,'C',11/9/76,0,102,10,25,35,30,17,'12:56','2.3','--',15,'--','--','--','--',15,0,0,0,0,'R','C',11/9/76,Prague,'--','CZE','CZE',72,198,2001,2,51,20012002,2001,'N',102,10,25,35
Raimo Summanen,'R',3/2/62,1,151,36,40,76,35,13,'--','--','--',16,'--','--','--','--',15,1,0,0,0,'L','R',3/2/62,Jyväskylä,'--','FIN','FIN',71,196,1982,6,125,19831984,1983,'N',151,36,40,76
Bruce Affleck,'D',5/5/54,2,280,14,66,80,86,18,'--','--','--',40,'--','--','--','--',38,2,0,0,0,'L','D',5/5/54,Salmon Arm,'BC','CAN','CAN',72,190,1974,2,21,19741975,1974,'N',280,14,66,80
Janne Ojanen,'C',4/9/68,0,98,21,23,44,28,17,'--','--','--',14,'--','--','--','--',14,0,0,0,0,'L','C',4/9/68,Tampere,'--','FIN','FIN',74,200,1986,3,45,19881989,1988,'N',98,21,23,44
Spencer Machacek,'R',10/14/88,1,25,2,7,9,7,16,'7:37','3.7','--',2,'--','--','--','--',1,1,0,0,0,'R','R',10/14/88,Lethbridge,'AB','CAN','CAN',73,200,2007,3,67,20082009,2008,'N',25,2,7,9
Steve Rucchin,'C',7/4/71,1,735,171,318,489,164,13,'--','--','--',74,'--','--','--','--',71,2,0,0,1,'L','C',7/4/71,Thunder Bay,'ON','CAN','CAN',74,210,NaN,NaN,NaN,19941995,1994,'N',735,171,318,489
Mathieu Darche,'L',11/26/76,0,250,30,42,72,58,13,'12:09','1.9','--',27,'--','--','--','--',27,0,0,0,0,'L','L',11/26/76,Montreal,'QC','CAN','CAN',73,215,NaN,NaN,NaN,20002001,2000,'N',250,30,42,72
Jozef Stumpel,'L',7/20/72,1,957,196,481,677,245,15,'--','--','--',117,'--','--','--','--',115,1,0,1,0,'R','L',7/20/72,Nitra,'--','SVK','SVK',75,222,1991,2,40,19911992,1991,'N',957,196,481,677
Jim McElmury,'D',10/3/49,1,180,14,47,61,49,16,'--','--','--',23,'--','--','--','--',22,1,0,0,0,'L','D',10/3/49,St. Paul,'MN','USA','USA',73,190,NaN,NaN,NaN,19721973,1972,'N',180,14,47,61
Viktor Kozlov,'C',2/14/75,0,897,198,339,537,248,16,'--','--','--',119,'--','--','--','--',118,0,0,1,0,'R','C',2/14/75,Togliatti,'--','RUS','RUS',76,232,1993,1,6,19941995,1994,'N',897,198,339,537
John Smrke,'L',2/25/56,3,103,11,17,28,33,19,'--','--','--',12,'--','--','--','--',9,3,0,0,0,'--','L',2/25/56,Chicoutimi,'QC','CAN','CAN',70,189,1976,2,25,19771978,1977,'N',103,11,17,28
Paul Ranheim,'L',1/25/66,2,1013,161,199,360,288,17,'--','--','--',126,'--','--','--','--',119,4,0,1,2,'R','L',1/25/66,St. Louis,'MO','USA','USA',73,210,1984,2,38,19881989,1988,'N',1013,161,199,360
Sami Salo,'D',9/2/74,0,878,99,240,339,286,19,'20:51','1.6','--',142,'--','--','--','--',142,0,0,0,0,'R','D',9/2/74,Turku,'--','FIN','FIN',75,215,1996,9,239,19981999,1998,'N',878,99,240,339
Rob Globke,'R',10/24/82,0,46,1,1,2,8,10,'6:52','2.5','--',4,'--','--','--','--',4,0,0,0,0,'R','R',10/24/82,Farmington,'MI','USA','USA',74,208,2002,2,40,20052006,2005,'N',46,1,1,2
Eric Houde,'C',12/19/76,0,30,2,3,5,4,8,'--','--','--',2,'--','--','--','--',2,0,0,0,0,'L','C',12/19/76,Montreal,'QC','CAN','CAN',71,190,1995,9,216,19961997,1996,'N',30,2,3,5
