Player,Pos,DOB,Total Fights,GP,G,A,P,PIM,PIM/GP,TOI/GP,PIM/TOI%,Pen Drawn,Pen Taken,Net Pen,Pen Drawn/60,Pen Taken/60,Net Pen/60,Minor,Major,Match,Msct,G Msct,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,1st Season Corrected,HOF,GP,G,A,P
Michael Raffl,'L',12/1/88,7,572,88,89,177,233,'0:24',13:17,3.1,124,100,24,0.98,0.79,0.19,92,7,0,1,0,'L','L',12/1/88,Villach,'--','AUT','AUT',73,205,NaN,NaN,NaN,20132014,2013,'N',572,88,89,177
Brooks Laich,'C',6/23/83,6,776,134,198,332,307,'0:23',15:23,2.6,NaN,145,NaN,NaN,NaN,NaN,140,5,0,0,0,'L','C',6/23/83,Wawota,'SK','CAN','CAN',74,200,2001,6,193,20032004,2003,'N',776,134,198,332
David Jones,'R',8/10/84,2,462,104,87,191,122,'0:15',14:57,1.8,NaN,56,NaN,NaN,NaN,NaN,54,2,0,0,0,'R','R',8/10/84,Guelph,'ON','CAN','CAN',75,208,2003,9,288,20072008,2007,'N',462,104,87,191
Jordan Staal,'C',9/10/88,5,1077,249,349,598,519,'0:28',18:34,2.6,NaN,243,NaN,NaN,NaN,NaN,236,5,1,1,0,'L','C',9/10/88,Thunder Bay,'ON','CAN','CAN',76,220,2006,1,2,20062007,2006,'N',1078,249,349,598
David Booth,'L',11/24/84,4,530,124,112,236,216,'0:24',14:42,2.8,NaN,101,NaN,NaN,NaN,NaN,97,4,0,0,0,'L','L',11/24/84,Detroit,'MI','USA','USA',72,212,2004,2,53,20062007,2006,'N',530,124,112,236
Eric Tangradi,'L',2/10/89,6,150,5,11,16,86,'0:34',9:31,6,29,25,4,1.22,1.05,0.17,17,6,0,1,1,'L','L',2/10/89,Philadelphia,'PA','USA','USA',76,226,2007,2,42,20092010,2009,'N',150,5,11,16
Leo Komarov,'R',1/23/87,2,491,63,107,170,207,'0:25',15:08,2.8,96,93,3,0.77,0.75,0.02,89,3,1,0,0,'L','R',1/23/87,Narva,'--','EST','FIN',71,205,2006,6,180,20122013,2012,'N',491,63,107,170
Rich Peverley,'C',7/8/82,3,442,84,157,241,167,'0:22',16:12,2.3,NaN,79,NaN,NaN,NaN,NaN,76,3,0,0,0,'R','C',7/8/82,Kingston,'ON','CAN','CAN',71,195,NaN,NaN,NaN,20062007,2006,'N',442,84,157,241
Mike Brown,'R',4/27/79,16,407,19,17,36,778,'1:54',8:13,23.2,NaN,204,NaN,NaN,NaN,NaN,98,96,0,9,1,'L','L',4/27/79,Surrey,'BC','CAN','CAN',76,225,1997,1,20,20002001,2000,'N',34,1,2,3
Nikolay Zherdev,'R',11/5/84,1,421,115,146,261,225,'0:32',16:44,3.2,NaN,111,NaN,NaN,NaN,NaN,110,1,0,0,0,'R','R',11/5/84,Kiev,'--','UKR','RUS',74,203,2003,1,4,20032004,2003,'N',421,115,146,261
John Mitchell,'C',1/22/85,3,548,70,107,177,267,'0:29',14:26,3.4,NaN,115,NaN,NaN,NaN,NaN,109,3,0,3,0,'L','C',1/22/85,Oakville,'ON','CAN','CAN',73,204,2003,5,158,20082009,2008,'N',548,70,107,177
Marcel Hossa,'L',10/12/81,0,237,31,30,61,106,'0:26',12:35,3.6,NaN,53,NaN,NaN,NaN,NaN,53,0,0,0,0,'L','L',10/12/81,Ilava,'--','SVK','SVK',75,220,2000,1,16,20012002,2001,'N',237,31,30,61
Konstantin Koltsov,'L',4/17/81,0,144,12,26,38,50,'0:20',14:26,2.4,NaN,25,NaN,NaN,NaN,NaN,25,0,0,0,0,'L','L',4/17/81,Minsk,'--','BLR','BLR',72,218,1999,1,18,20022003,2002,'N',144,12,26,38
Ales Kotalik,'R',12/23/78,2,542,136,148,284,348,'0:38',14:53,4.3,NaN,166,NaN,NaN,NaN,NaN,163,2,0,0,1,'R','R',12/23/78,Jindrichuv Hradec,'--','CZE','CZE',73,225,1998,6,164,20012002,2001,'N',542,136,148,284
Taylor Pyatt,'L',8/19/81,12,859,140,140,280,430,'0:30',13:45,3.6,NaN,191,NaN,NaN,NaN,NaN,178,12,1,0,0,'L','L',8/19/81,Thunder Bay,'ON','CAN','CAN',76,230,1999,1,8,20002001,2000,'N',859,140,140,280
Denis Arkhipov,'C',5/19/79,0,352,56,82,138,128,'0:21',14:34,2.5,NaN,64,NaN,NaN,NaN,NaN,64,0,0,0,0,'L','C',5/19/79,Kazan,'--','RUS','RUS',75,215,1998,3,60,20002001,2000,'N',352,56,82,138
Rostislav Olesz,'L',10/10/85,0,365,57,77,134,118,'0:19',14:58,2.2,NaN,59,NaN,NaN,NaN,NaN,59,0,0,0,0,'L','L',10/10/85,Bilovec,'--','CZE','CZE',74,215,2004,1,7,20052006,2005,'N',365,57,77,134
Anthony Stewart,'R',1/5/85,10,262,27,44,71,123,'0:28',9:49,4.8,NaN,35,NaN,NaN,NaN,NaN,23,9,0,2,1,'R','R',1/5/85,LaSalle,'QC','CAN','CAN',75,230,2003,1,25,20052006,2005,'N',262,27,44,71
Dennis Seidenberg,'D',7/18/81,6,859,44,207,251,359,'0:25',20:44,2,NaN,167,NaN,NaN,NaN,NaN,161,5,0,1,0,'L','D',7/18/81,Schwenningen,'--','DEU','DEU',72,199,2001,6,172,20022003,2002,'N',859,44,207,251
Bryan Bickell,'L',3/9/86,10,395,66,70,136,192,'0:29',12:05,4,NaN,72,NaN,NaN,NaN,NaN,60,10,0,2,0,'L','L',3/9/86,Bowmanville,'ON','CAN','CAN',76,223,2004,2,41,20062007,2006,'N',395,66,70,136
Evgeny Artyukhin,'R',4/4/83,10,199,19,30,49,313,'1:34',9:29,16.6,NaN,119,NaN,NaN,NaN,NaN,103,11,1,4,0,'L','R',4/4/83,Moscow,'--','RUS','RUS',76,255,2001,3,94,20052006,2005,'N',199,19,30,49
Fredrik Sjostrom,'L',5/6/83,0,489,46,58,104,190,'0:23',12:16,3.2,NaN,95,NaN,NaN,NaN,NaN,95,0,0,0,0,'L','L',5/6/83,Färgelanda,'--','SWE','SWE',73,218,2001,1,11,20032004,2003,'N',489,46,58,104
Trevor Gillies,'L',1/30/79,17,57,2,1,3,261,'4:34',3:14,141.5,NaN,57,NaN,NaN,NaN,NaN,28,17,0,9,3,'L','L',1/30/79,Cambridge,'ON','CAN','CAN',75,231,NaN,NaN,NaN,20052006,2005,'N',57,2,1,3
Brent Seabrook,'D',4/20/85,17,1114,103,361,464,661,'0:35',21:56,2.7,NaN,292,NaN,NaN,NaN,NaN,272,17,0,3,0,'R','D',4/20/85,Richmond,'BC','CAN','CAN',75,220,2003,1,14,20052006,2005,'N',1114,103,361,464
Jiri Fischer,'D',7/31/80,9,305,11,49,60,295,'0:58',16:50:00.000,5.7,NaN,134,NaN,NaN,NaN,NaN,125,9,0,0,0,'L','D',7/31/80,Horovice,'--','CZE','CZE',77,229,1998,1,25,19992000,1999,'N',305,11,49,60
Oleg Kvasha,'C',7/26/78,1,493,81,136,217,335,'0:40',14:06,4.8,NaN,158,NaN,NaN,NaN,NaN,155,1,0,1,1,'R','C',7/26/78,Moscow,'--','RUS','RUS',77,230,1996,3,65,19981999,1998,'N',493,81,136,217
Trent Hunter,'R',7/5/80,2,497,101,135,236,209,'0:25',15:55,2.6,NaN,92,NaN,NaN,NaN,NaN,87,3,0,1,1,'R','R',7/5/80,Red Deer,'AB','CAN','CAN',75,217,1998,6,150,20022003,2002,'N',497,101,135,236
Alexei Ponikarovsky,'L',4/9/80,2,678,139,184,323,419,'0:37',14:22,4.3,NaN,200,NaN,NaN,NaN,NaN,196,3,0,0,1,'L','L',4/9/80,Kiev,'--','UKR','UKR',76,225,1998,4,87,20002001,2000,'N',678,139,184,323
Stephen Weiss,'C',4/3/83,2,732,156,267,423,341,'0:27',17:22,2.7,NaN,149,NaN,NaN,NaN,NaN,142,3,0,1,3,'L','C',4/3/83,Toronto,'ON','CAN','CAN',71,190,2001,1,4,20012002,2001,'N',732,156,267,423
R.J. Umberger,'C',5/3/82,10,779,180,212,392,312,'0:24',16:38,2.4,NaN,131,NaN,NaN,NaN,NaN,119,10,0,2,0,'L','C',5/3/82,Pittsburgh,'PA','USA','USA',74,214,2001,1,16,20052006,2005,'N',779,180,212,392
Ryan Flinn,'L',4/20/80,11,31,1,0,1,84,'2:42',4:30,60.2,NaN,20,NaN,NaN,NaN,NaN,7,12,0,1,0,'L','L',4/20/80,Halifax,'NS','CAN','CAN',76,235,1998,5,143,20012002,2001,'N',31,1,0,1
Tyler Bozak,'C',3/19/86,1,811,170,290,460,236,'0:17',17:27,1.7,137,109,28,0.58,0.46,0.12,107,0,0,1,1,'R','C',3/19/86,Regina,'SK','CAN','CAN',73,187,NaN,NaN,NaN,20092010,2009,'N',811,170,290,460
David Steckel,'C',3/15/82,5,425,33,46,79,129,'0:18',12:28,2.4,NaN,57,NaN,NaN,NaN,NaN,52,5,0,0,0,'L','C',3/15/82,Milwaukee,'WI','USA','USA',78,215,2001,1,30,20052006,2005,'N',425,33,46,79
Jonathan Ericsson,'D',3/2/84,17,680,27,98,125,535,'0:47',18:37,4.2,NaN,232,NaN,NaN,NaN,NaN,214,15,0,3,0,'L','D',3/2/84,Karlskrona,'--','SWE','SWE',76,218,2002,9,291,20072008,2007,'N',680,27,98,125
Mikael Samuelsson,'R',12/23/76,2,699,149,197,346,370,'0:31',14:50,3.6,NaN,182,NaN,NaN,NaN,NaN,180,2,0,0,0,'R','R',12/23/76,Mariefred,'--','SWE','SWE',74,218,1998,5,145,20002001,2000,'N',699,149,197,346
Chris Kelly,'C',11/11/80,10,845,123,168,291,417,'0:29',14:31,3.4,NaN,179,NaN,NaN,NaN,NaN,166,9,0,3,1,'L','C',11/11/80,Toronto,'ON','CAN','CAN',72,190,1999,3,94,20032004,2003,'N',845,123,168,291
Josh Green,'C',11/16/77,8,341,36,40,76,206,'0:36',11:00,5.5,NaN,90,NaN,NaN,NaN,NaN,82,8,0,0,0,'L','C',11/16/77,Camrose,'AB','CAN','CAN',75,218,1996,2,30,19981999,1998,'N',341,36,40,76
Johan Franzen,'R',12/23/79,2,602,187,183,370,401,'0:39',16:44,4,NaN,179,NaN,NaN,NaN,NaN,172,3,0,3,1,'L','R',12/23/79,Vetlanda,'--','SWE','SWE',76,232,2004,3,97,20052006,2005,'N',602,187,183,370
Christian Backman,'D',4/28/80,0,302,23,56,79,182,'0:36',20:02,3,NaN,91,NaN,NaN,NaN,NaN,91,0,0,0,0,'L','D',4/28/80,Gothenburg,'--','SWE','SWE',76,210,1998,1,24,20022003,2002,'N',302,23,56,79
Shawn Horcoff,'C',9/17/78,8,1008,186,325,511,624,'0:37',16:50,3.7,NaN,295,NaN,NaN,NaN,NaN,286,8,0,1,0,'L','C',9/17/78,Trail,'BC','CAN','CAN',73,210,1998,4,99,20002001,2000,'N',1008,186,325,511
Jim Slater,'C',12/9/82,17,584,67,71,138,407,'0:41',11:03,6.3,NaN,166,NaN,NaN,NaN,NaN,146,17,0,3,0,'L','C',12/9/82,Lapeer,'MI','USA','USA',72,195,2002,1,30,20052006,2005,'N',584,67,71,138
Dmitri Kalinin,'D',7/22/80,3,539,36,126,162,321,'0:35',19:26,3.1,NaN,144,NaN,NaN,NaN,NaN,138,3,0,1,2,'L','D',7/22/80,Chelyabinsk,'--','RUS','RUS',75,210,1998,1,18,19992000,1999,'N',539,36,126,162
Boyd Devereaux,'C',4/16/78,1,627,67,112,179,205,'0:19',11:31,2.8,NaN,101,NaN,NaN,NaN,NaN,100,1,0,0,0,'L','C',4/16/78,Seaforth,'ON','CAN','CAN',74,195,1996,1,6,19971998,1997,'N',627,67,112,179
Andrew Alberts,'D',6/30/81,20,459,8,47,55,492,'1:04',15:50,6.8,NaN,198,NaN,NaN,NaN,NaN,174,20,0,2,2,'L','D',6/30/81,Minneapolis,'MN','USA','USA',77,218,2001,6,179,20052006,2005,'N',459,8,47,55
Paul Martin,'D',3/5/81,0,870,50,270,320,238,'0:16',22:42,1.2,NaN,119,NaN,NaN,NaN,NaN,119,0,0,0,0,'L','D',3/5/81,Minneapolis,'MN','USA','USA',73,200,2000,2,62,20032004,2003,'N',870,50,270,320
Eric Daze,'L',7/2/75,0,601,226,172,398,176,'0:17',--,NaN,NaN,80,NaN,NaN,NaN,NaN,78,0,0,1,1,'L','L',7/2/75,Montreal,'QC','CAN','CAN',78,235,1993,4,90,19941995,1994,'N',601,226,172,398
Chad Kilger,'L',11/27/76,6,714,107,111,218,363,'0:30',--,NaN,NaN,166,NaN,NaN,NaN,NaN,159,5,0,2,0,'L','L',11/27/76,Cornwall,'ON','CAN','CAN',76,224,1995,1,4,19951996,1995,'N',714,107,111,218
Michal Pivonka,C,1966-01-28,3,825,181,418,599,476,0:34,--,--,--,219,--,--,--,--,211,6,0,0,2,L,C,1966-01-28,Kladno,--,CZE,CZE,74,198,1984,3,59,19861987,1986,N,825,181,418,599
Shawn Matthias,'L',2/19/88,7,551,90,84,174,180,'0:19',12:54,2.5,NaN,77,NaN,NaN,NaN,NaN,70,6,0,1,0,'L','L',2/19/88,Mississauga,'ON','CAN','CAN',76,231,2006,2,47,20072008,2007,'N',551,90,84,174
Colin Forbes,'L',2/16/76,10,311,33,28,61,213,'0:41',--,NaN,NaN,78,NaN,NaN,NaN,NaN,64,11,0,2,1,'L','L',2/16/76,New Westminster,'BC','CAN','CAN',75,220,1994,7,166,19961997,1996,'N',311,33,28,61
Mark Parrish,'R',2/2/77,2,722,216,171,387,246,'0:20',15:25,2.2,NaN,120,NaN,NaN,NaN,NaN,118,2,0,0,0,'R','R',2/2/77,Bloomington,'MN','USA','USA',71,199,1996,3,79,19981999,1998,'N',722,216,171,387
Jason Spezza,'C',6/13/83,6,1236,361,629,990,600,'0:29',16:31,2.9,NaN,263,NaN,NaN,NaN,NaN,249,8,0,3,3,'R','C',6/13/83,Toronto,'ON','CAN','CAN',75,219,2001,1,2,20022003,2002,'N',1236,361,629,990
Marco Sturm,'L',9/8/78,1,938,242,245,487,446,'0:28',16:03,3,NaN,210,NaN,NaN,NaN,NaN,206,2,0,1,1,'L','L',9/8/78,Dingolfing,'--','DEU','DEU',72,196,1996,1,21,19971998,1997,'N',938,242,245,487
Fernando Pisani,'R',12/27/76,1,462,87,82,169,200,'0:25',14:17,3,NaN,92,NaN,NaN,NaN,NaN,89,2,0,0,1,'L','R',12/27/76,Edmonton,'AB','CAN','CAN',73,205,1996,8,195,20022003,2002,'N',462,87,82,169
Manny Malhotra,'C',5/18/80,11,991,116,179,295,451,'0:27',13:02,3.5,NaN,184,NaN,NaN,NaN,NaN,167,11,0,5,1,'L','C',5/18/80,Mississauga,'ON','CAN','CAN',74,207,1998,1,7,19981999,1998,'N',991,116,179,295
Jerred Smithson,'C',2/4/79,7,606,39,57,96,363,'0:35',12:23,4.8,NaN,158,NaN,NaN,NaN,NaN,148,7,0,1,2,'R','C',2/4/79,Vernon,'BC','CAN','CAN',75,209,NaN,NaN,NaN,20022003,2002,'N',606,39,57,96
Martin Havlat,'R',4/19/81,1,790,242,352,594,404,'0:30',16:48,3,NaN,188,NaN,NaN,NaN,NaN,184,2,1,1,0,'L','R',4/19/81,Mlada Boleslav,'--','CZE','CZE',74,210,1999,1,26,20002001,2000,'N',790,242,352,594
Patrick Rissmiller,'L',10/26/78,0,192,18,28,46,60,'0:18',12:04,2.6,NaN,30,NaN,NaN,NaN,NaN,30,0,0,0,0,'L','L',10/26/78,Belmont,'MA','USA','USA',76,225,NaN,NaN,NaN,20032004,2003,'N',192,18,28,46
Steve MacIntyre,'L',8/8/80,18,91,2,2,4,175,'1:55',3:25,56,NaN,46,NaN,NaN,NaN,NaN,25,17,0,3,1,'L','L',8/8/80,Brock,'SK','CAN','CAN',77,250,NaN,NaN,NaN,20082009,2008,'N',91,2,2,4
Nik Antropov,'C',2/18/80,2,788,193,272,465,627,'0:47',15:49,5,NaN,286,NaN,NaN,NaN,NaN,278,3,0,1,4,'L','C',2/18/80,Ust-Kamenogorsk,'--','KAZ','KAZ',78,245,1998,1,10,19992000,1999,'N',788,193,272,465
Dustin Penner,'L',9/28/82,8,589,151,159,310,354,'0:36',15:45,3.8,NaN,138,NaN,NaN,NaN,NaN,124,8,0,6,0,'L','L',9/28/82,Winkler,'MB','CAN','CAN',76,247,NaN,NaN,NaN,20052006,2005,'N',589,151,159,310
Pavel Kubina,'D',4/15/77,15,970,110,276,386,1123,'1:09',21:54,5.3,NaN,491,NaN,NaN,NaN,NaN,463,17,0,8,3,'R','D',4/15/77,Celadna,'--','CZE','CZE',76,258,1996,7,179,19971998,1997,'N',970,110,276,386
Lasse Pirjeta,'L',4/4/74,0,146,23,27,50,50,'0:20',11:04,3.1,NaN,25,NaN,NaN,NaN,NaN,25,0,0,0,0,'L','L',4/4/74,Oulu,'--','FIN','FIN',75,228,2002,5,133,20022003,2002,'N',146,23,27,50
Andreas Karlsson,'C',8/19/75,0,264,16,35,51,72,'0:16',11:14,2.4,NaN,36,NaN,NaN,NaN,NaN,36,0,0,0,0,'L','C',8/19/75,Ludvika,'--','SWE','SWE',76,201,1993,6,148,19992000,1999,'N',264,16,35,51
Mike Rathje,'D',5/11/74,5,768,30,150,180,491,'0:38',--,NaN,NaN,230,NaN,NaN,NaN,NaN,223,5,0,0,2,'L','D',5/11/74,Mannville,'AB','CAN','CAN',77,235,1992,1,3,19931994,1993,'N',768,30,150,180
Mikael Renberg,'R',5/5/72,2,661,190,274,464,372,'0:33',--,NaN,NaN,178,NaN,NaN,NaN,NaN,175,2,0,1,0,'L','R',5/5/72,Pitea,'--','SWE','SWE',74,235,1990,2,40,19931994,1993,'N',661,190,274,464
Michal Grosek,'L',6/1/75,15,526,84,137,221,509,'0:58',--,NaN,NaN,193,NaN,NaN,NaN,NaN,167,17,0,4,5,'R','L',6/1/75,Vyskov,'--','CZE','CZE',74,219,1993,6,145,19931994,1993,'N',526,84,137,221
Freddy Modin,'L',10/8/74,2,898,232,230,462,453,'0:30',--,NaN,NaN,218,NaN,NaN,NaN,NaN,214,3,0,0,1,'L','L',10/8/74,Sundsvall,'--','SWE','SWE',76,220,1994,3,64,19961997,1996,'N',898,232,230,462
Mattias Timander,'D',4/16/74,1,419,13,57,70,165,'0:23',--,NaN,NaN,81,NaN,NaN,NaN,NaN,80,1,0,0,0,'L','D',4/16/74,Solleftea,'--','SWE','SWE',75,230,1992,9,208,19961997,1996,'N',419,13,57,70
Bill Muckalt,'R',7/15/74,12,256,40,57,97,204,'0:47',13:08,6.1,NaN,72,NaN,NaN,NaN,NaN,57,12,0,1,2,'R','R',7/15/74,Surrey,'BC','CAN','CAN',73,200,1994,9,221,19981999,1998,'N',256,40,57,97
Steven Rice,'R',5/26/71,7,329,64,61,125,275,'0:50',--,NaN,NaN,100,NaN,NaN,NaN,NaN,84,11,0,1,4,'R','R',5/26/71,Kitchener,'ON','CAN','CAN',72,223,1989,1,20,19901991,1990,'N',329,64,61,125
Matt Cullen,'C',11/2/76,2,1516,266,465,731,592,'0:23',15:44,2.5,NaN,290,NaN,NaN,NaN,NaN,288,2,0,0,0,'L','C',11/2/76,Virginia,'MN','USA','USA',73,202,1996,2,35,19971998,1997,'N',1516,266,465,731
Stan Neckar,'D',12/22/75,4,510,12,41,53,316,'0:37',--,NaN,NaN,144,NaN,NaN,NaN,NaN,138,4,0,0,2,'L','D',12/22/75,Ceské Budejovice,'--','CZE','CZE',73,214,1994,2,29,19941995,1994,'N',510,12,41,53
Josef Melichar,'D',1/20/79,6,349,7,42,49,300,'0:51',17:22,5,NaN,140,NaN,NaN,NaN,NaN,134,6,0,0,0,'L','D',1/20/79,Ceské Budejovice,'--','CZE','CZE',74,220,1997,3,71,20002001,2000,'N',349,7,42,49
Mike Leclerc,'L',11/10/76,17,341,64,94,158,288,'0:50',--,NaN,NaN,109,NaN,NaN,NaN,NaN,89,18,0,2,0,'L','L',11/10/76,Winnipeg,'MB','CAN','CAN',74,212,1995,3,55,19961997,1996,'N',341,64,94,158
Jiri Slegr,'D',5/30/71,19,622,56,193,249,838,'1:20',--,NaN,NaN,341,NaN,NaN,NaN,NaN,309,20,1,6,5,'L','D',5/30/71,Jihlava,'--','CZE','CZE',73,210,1990,2,23,19921993,1992,'N',622,56,193,249
Andrei Nikolishin,'C',3/25/73,0,628,93,187,280,270,'0:25',--,NaN,NaN,135,NaN,NaN,NaN,NaN,135,0,0,0,0,'L','C',3/25/73,Vorkuta,'--','RUS','RUS',72,225,1992,2,47,19941995,1994,'N',628,93,187,280
Anders Eriksson,'D',1/9/75,0,572,22,154,176,242,'0:25',--,NaN,NaN,121,NaN,NaN,NaN,NaN,121,0,0,0,0,'L','D',1/9/75,Bollnas,'--','SWE','SWE',75,224,1993,1,22,19951996,1995,'N',572,22,154,176
Andreas Lilja,'D',7/13/75,12,580,16,71,87,563,'0:58',17:17,5.6,NaN,254,NaN,NaN,NaN,NaN,239,13,0,1,1,'L','D',7/13/75,Helsingborg,'--','SWE','SWE',75,220,2000,2,54,20002001,2000,'N',580,16,71,87
Brendan Morrison,'C',8/15/75,0,934,200,401,601,452,'0:29',17:20,2.8,NaN,222,NaN,NaN,NaN,NaN,221,0,0,1,0,'L','C',8/15/75,Pitt Meadows,'BC','CAN','CAN',71,176,1993,2,39,19971998,1997,'N',934,200,401,601
Filip Kuba,'D',12/29/76,1,836,70,263,333,361,'0:25',22:57,1.9,NaN,176,NaN,NaN,NaN,NaN,175,1,0,0,0,'L','D',12/29/76,Ostrava,'--','CZE','CZE',76,225,1995,8,192,19981999,1998,'N',836,70,263,333
Patrice Brisebois,'D',1/27/71,9,1009,98,322,420,623,'0:37',--,NaN,NaN,250,NaN,NaN,NaN,NaN,228,11,0,7,4,'R','D',1/27/71,Montreal,'QC','CAN','CAN',74,197,1989,2,30,19901991,1990,'N',1009,98,322,420
Alexei Zhitnik,'D',10/10/72,3,1085,96,375,471,1268,'1:10',--,NaN,NaN,598,NaN,NaN,NaN,NaN,584,8,1,0,5,'L','D',10/10/72,Kiev,'--','UKR','RUS',71,225,1991,4,81,19921993,1992,'N',1085,96,375,471
Dan McGillis,'D',7/1/72,2,634,56,182,238,570,'0:53',--,NaN,NaN,263,NaN,NaN,NaN,NaN,255,4,1,1,2,'L','D',7/1/72,Hawkesbury,'ON','CAN','CAN',75,220,1992,10,238,19961997,1996,'N',634,56,182,238
Mathieu Darche,'L',11/26/76,0,250,30,42,72,58,'0:13',12:09,1.9,NaN,27,NaN,NaN,NaN,NaN,27,0,0,0,0,'L','L',11/26/76,Montreal,'QC','CAN','CAN',73,215,NaN,NaN,NaN,20002001,2000,'N',250,30,42,72
Jason Bonsignore,'C',4/15/76,0,79,3,13,16,34,'0:25',--,NaN,NaN,17,NaN,NaN,NaN,NaN,17,0,0,0,0,'R','C',4/15/76,Rochester,'NY','USA','USA',76,220,1994,1,4,19941995,1994,'N',79,3,13,16
